"item","BA S/E DON GOYO 220KV BP2","BA S/E NUEVA PAN DE AZUCAR 220KV BPA","addValue"
"2023-02-25 12","0.00","0.00",""
"2023-02-25 13","0.00","0.00",""
"2023-02-25 14","0.00","0.00",""
"2023-02-25 15","0.00","0.00",""
"2023-02-25 16","0.00","0.00",""
"2023-02-25 17","0.00","0.00",""
"2023-02-25 18","0.00","0.00",""
"2023-02-25 19","0.00","0.00",""
"2023-02-25 20","53.00","54.24",""
"2023-02-25 21","149.56","153.05",""
"2023-02-25 22","149.56","153.05",""
"2023-02-25 23","149.56","153.05",""
"2023-02-25 24","149.56","153.05",""
"2023-02-26 01","163.94","166.23",""
"2023-02-26 02","163.94","166.23",""
"2023-02-26 03","138.09","140.01",""
"2023-02-26 04","134.11","135.98",""
"2023-02-26 05","134.11","135.98",""
"2023-02-26 06","137.12","139.04",""
"2023-02-26 07","152.19","154.31",""
"2023-02-26 08","130.14","131.95",""
"2023-02-26 09","0.00","0.00",""
"2023-02-26 10","0.00","0.00",""
"2023-02-26 11","0.00","0.00",""
"2023-02-26 12","0.00","0.00",""
"2023-02-26 13","0.00","0.00",""
"2023-02-26 14","0.00","0.00",""
"2023-02-26 15","0.00","0.00",""
"2023-02-26 16","0.00","0.00",""
"2023-02-26 17","0.00","0.00",""
"2023-02-26 18","0.00","0.00",""
"2023-02-26 19","0.00","0.00",""
"2023-02-26 20","31.50","32.04",""
"2023-02-26 21","153.65","156.32",""
"2023-02-26 22","157.49","160.22",""
"2023-02-26 23","157.49","160.22",""
"2023-02-26 24","153.50","156.16",""
"2023-02-27 01","135.24","136.21",""
"2023-02-27 02","135.24","136.21",""
"2023-02-27 03","135.24","136.21",""
"2023-02-27 04","135.24","136.21",""
"2023-02-27 05","135.24","136.21",""
"2023-02-27 06","148.45","149.52",""
"2023-02-27 07","165.06","166.25",""
"2023-02-27 08","176.45","177.73",""
"2023-02-27 09","67.25","67.56",""
"2023-02-27 10","0.00","0.00",""
"2023-02-27 11","0.00","0.00",""
"2023-02-27 12","0.00","0.00",""
"2023-02-27 13","0.00","0.00",""
"2023-02-27 14","0.00","0.00",""
"2023-02-27 15","0.00","0.00",""
"2023-02-27 16","0.00","0.00",""
"2023-02-27 17","0.00","0.00",""
"2023-02-27 18","0.00","0.00",""
"2023-02-27 19","29.54","29.73",""
"2023-02-27 20","146.10","147.04",""
"2023-02-27 21","172.65","173.77",""
"2023-02-27 22","172.65","173.77",""
"2023-02-27 23","172.65","173.77",""
"2023-02-27 24","172.65","173.77",""
"2023-02-28 01","176.04","177.20",""
"2023-02-28 02","176.04","177.20",""
"2023-02-28 03","170.72","171.84",""
"2023-02-28 04","160.07","161.13",""
"2023-02-28 05","160.07","161.13",""
"2023-02-28 06","183.69","184.90",""
"2023-02-28 07","210.95","212.34",""
"2023-02-28 08","194.14","195.42",""
"2023-02-28 09","70.86","71.19",""
"2023-02-28 10","0.00","0.00",""
"2023-02-28 11","0.00","0.00",""
"2023-02-28 12","0.00","0.00",""
"2023-02-28 13","0.00","0.00",""
"2023-02-28 14","0.00","0.00",""
"2023-02-28 15","0.00","0.00",""
"2023-02-28 16","0.00","0.00",""
"2023-02-28 17","0.00","0.00",""
"2023-02-28 18","0.00","0.00",""
"2023-02-28 19","0.00","0.00",""
"2023-02-28 20","83.20","83.66",""
"2023-02-28 21","155.54","156.40",""
"2023-02-28 22","144.31","145.11",""
"2023-02-28 23","151.39","152.23",""
"2023-02-28 24","150.19","151.03",""
"2023-03-01 01","160.87","162.71",""
"2023-03-01 02","145.74","147.41",""
"2023-03-01 03","156.74","158.54",""
"2023-03-01 04","158.68","160.50",""
"2023-03-01 05","158.68","160.50",""
"2023-03-01 06","158.68","160.50",""
"2023-03-01 07","159.06","160.88",""
"2023-03-01 08","161.53","163.38",""
"2023-03-01 09","83.71","84.29",""
"2023-03-01 10","0.00","0.00",""
"2023-03-01 11","0.00","0.00",""
"2023-03-01 12","0.00","0.00",""
"2023-03-01 13","0.00","0.00",""
"2023-03-01 14","0.00","0.00",""
"2023-03-01 15","0.00","0.00",""
"2023-03-01 16","0.00","0.00",""
"2023-03-01 17","0.00","0.00",""
"2023-03-01 18","0.00","0.00",""
"2023-03-01 19","0.00","0.00",""
"2023-03-01 20","99.26","101.31",""
"2023-03-01 21","155.11","158.30",""
"2023-03-01 22","158.97","162.25",""
"2023-03-01 23","158.97","162.25",""
"2023-03-01 24","149.88","152.97",""
"2023-03-02 01","140.73","142.28",""
"2023-03-02 02","129.32","130.75",""
"2023-03-02 03","128.89","130.31",""
"2023-03-02 04","134.47","135.96",""
"2023-03-02 05","139.87","141.42",""
"2023-03-02 06","139.87","141.42",""
"2023-03-02 07","164.82","166.64",""
"2023-03-02 08","166.13","167.97",""
"2023-03-02 09","75.89","76.28",""
"2023-03-02 10","0.00","0.00",""
"2023-03-02 11","0.00","0.00",""
"2023-03-02 12","0.00","0.00",""
"2023-03-02 13","0.00","0.00",""
"2023-03-02 14","0.00","0.00",""
"2023-03-02 15","0.00","0.00",""
"2023-03-02 16","0.00","0.00",""
"2023-03-02 17","0.00","0.00",""
"2023-03-02 18","0.00","0.00",""
"2023-03-02 19","0.00","0.00",""
"2023-03-02 20","137.08","137.62",""
"2023-03-02 21","161.64","162.28",""
"2023-03-02 22","161.64","162.28",""
"2023-03-02 23","161.64","162.28",""
"2023-03-02 24","157.63","158.25",""
"2023-03-03 01","160.80","160.95",""
"2023-03-03 02","146.50","146.64",""
"2023-03-03 03","142.43","142.56",""
"2023-03-03 04","140.49","140.62",""
"2023-03-03 05","142.43","142.56",""
"2023-03-03 06","147.59","147.73",""
"2023-03-03 07","166.24","166.40",""
"2023-03-03 08","166.24","166.40",""
"2023-03-03 09","75.74","76.16",""
"2023-03-03 10","0.00","0.00",""
"2023-03-03 11","0.00","0.00",""
"2023-03-03 12","0.00","0.00",""
"2023-03-03 13","0.00","0.00",""
"2023-03-03 14","0.00","0.00",""
"2023-03-03 15","0.00","0.00",""
"2023-03-03 16","0.00","0.00",""
"2023-03-03 17","0.00","0.00",""
"2023-03-03 18","0.00","0.00",""
"2023-03-03 19","3.78","3.82",""
"2023-03-03 20","164.91","166.49",""
"2023-03-03 21","169.81","171.44",""
"2023-03-03 22","161.00","162.54",""
"2023-03-03 23","161.00","162.54",""
"2023-03-03 24","161.00","162.54",""
"2023-03-04 01","146.68","147.23",""
"2023-03-04 02","146.68","147.23",""
"2023-03-04 03","140.62","141.15",""
"2023-03-04 04","126.81","127.29",""
"2023-03-04 05","126.36","126.83",""
"2023-03-04 06","126.26","126.74",""
"2023-03-04 07","146.75","147.31",""
"2023-03-04 08","143.65","144.20",""
"2023-03-04 09","48.01","48.39",""
"2023-03-04 10","0.00","0.00",""
"2023-03-04 11","0.00","0.00",""
"2023-03-04 12","0.00","0.00",""
"2023-03-04 13","0.00","0.00",""
"2023-03-04 14","0.00","0.00",""
"2023-03-04 15","0.00","0.00",""
"2023-03-04 16","0.00","0.00",""
"2023-03-04 17","0.00","0.00",""
"2023-03-04 18","0.00","0.00",""
"2023-03-04 19","0.00","0.00",""
"2023-03-04 20","78.60","79.38",""
"2023-03-04 21","202.51","204.54",""
"2023-03-04 22","193.94","195.88",""
"2023-03-04 23","162.72","164.35",""
"2023-03-04 24","162.72","164.35",""
"2023-03-05 01","147.83","148.21",""
"2023-03-05 02","140.88","141.25",""
"2023-03-05 03","136.60","136.96",""
"2023-03-05 04","132.32","132.66",""
"2023-03-05 05","132.32","132.66",""
"2023-03-05 06","123.59","123.91",""
"2023-03-05 07","123.26","123.58",""
"2023-03-05 08","121.43","121.75",""
"2023-03-05 09","41.84","42.28",""
"2023-03-05 10","0.00","0.00",""
"2023-03-05 11","0.00","0.00",""
"2023-03-05 12","0.00","0.00",""
"2023-03-05 13","0.00","0.00",""
"2023-03-05 14","0.00","0.00",""
"2023-03-05 15","0.00","0.00",""
"2023-03-05 16","0.00","0.00",""
"2023-03-05 17","0.00","0.00",""
"2023-03-05 18","0.00","0.00",""
"2023-03-05 19","0.00","0.00",""
"2023-03-05 20","99.15","99.38",""
"2023-03-05 21","169.80","170.19",""
"2023-03-05 22","168.55","168.93",""
"2023-03-05 23","141.65","141.98",""
"2023-03-05 24","133.20","133.50",""
"2023-03-06 01","132.92","133.02",""
"2023-03-06 02","141.39","141.50",""
"2023-03-06 03","135.45","135.55",""
"2023-03-06 04","132.34","132.44",""
"2023-03-06 05","140.91","141.02",""
"2023-03-06 06","162.92","163.04",""
"2023-03-06 07","166.84","166.97",""
"2023-03-06 08","173.38","173.51",""
"2023-03-06 09","121.27","122.04",""
"2023-03-06 10","64.80","65.21",""
"2023-03-06 11","85.06","85.60",""
"2023-03-06 12","144.77","145.69",""
"2023-03-06 13","135.03","135.88",""
"2023-03-06 14","17.15","17.26",""
"2023-03-06 15","0.00","0.00",""
"2023-03-06 16","0.00","0.00",""
"2023-03-06 17","0.00","0.00",""
"2023-03-06 18","0.00","0.00",""
"2023-03-06 19","75.05","75.40",""
"2023-03-06 20","184.85","185.70",""
"2023-03-06 21","187.16","188.02",""
"2023-03-06 22","187.16","188.02",""
"2023-03-06 23","185.08","185.93",""
"2023-03-06 24","182.54","183.38",""
"2023-03-07 01","180.47","180.91",""
"2023-03-07 02","181.53","181.98",""
"2023-03-07 03","181.53","181.98",""
"2023-03-07 04","181.55","182.00",""
"2023-03-07 05","181.55","182.00",""
"2023-03-07 06","181.55","182.00",""
"2023-03-07 07","191.60","192.07",""
"2023-03-07 08","190.06","190.53",""
"2023-03-07 09","145.97","146.73",""
"2023-03-07 10","80.82","81.25",""
"2023-03-07 11","64.94","65.28",""
"2023-03-07 12","0.00","0.00",""
"2023-03-07 13","0.00","0.00",""
"2023-03-07 14","0.00","0.00",""
"2023-03-07 15","0.00","0.00",""
"2023-03-07 16","0.00","0.00",""
"2023-03-07 17","0.00","0.00",""
"2023-03-07 18","0.00","0.00",""
"2023-03-07 19","68.35","68.63",""
"2023-03-07 20","250.56","251.57",""
"2023-03-07 21","274.98","276.08",""
"2023-03-07 22","275.27","276.37",""
"2023-03-07 23","277.73","278.85",""
"2023-03-07 24","256.13","257.16",""
"2023-03-08 01","193.21","193.86",""
"2023-03-08 02","162.62","163.17",""
"2023-03-08 03","162.62","163.17",""
"2023-03-08 04","162.62","163.17",""
"2023-03-08 05","162.62","163.17",""
"2023-03-08 06","173.88","174.47",""
"2023-03-08 07","185.91","186.54",""
"2023-03-08 08","183.58","184.20",""
"2023-03-08 09","95.02","96.22",""
"2023-03-08 10","55.87","56.57",""
"2023-03-08 11","0.00","0.00",""
"2023-03-08 12","0.00","0.00",""
"2023-03-08 13","0.00","0.00",""
"2023-03-08 14","0.00","0.00",""
"2023-03-08 15","0.00","0.00",""
"2023-03-08 16","0.00","0.00",""
"2023-03-08 17","0.00","0.00",""
"2023-03-08 18","0.00","0.00",""
"2023-03-08 19","49.76","50.97",""
"2023-03-08 20","177.31","181.60",""
"2023-03-08 21","177.32","181.61",""
"2023-03-08 22","160.65","164.53",""
"2023-03-08 23","155.49","159.25",""
"2023-03-08 24","155.49","159.25",""
"2023-03-09 01","169.80","170.55",""
"2023-03-09 02","169.80","170.55",""
"2023-03-09 03","151.24","151.91",""
"2023-03-09 04","149.31","149.97",""
"2023-03-09 05","146.42","147.06",""
"2023-03-09 06","146.42","147.06",""
"2023-03-09 07","188.34","189.16",""
"2023-03-09 08","188.34","189.16",""
"2023-03-09 09","156.77","159.37",""
"2023-03-09 10","71.40","72.58",""
"2023-03-09 11","82.31","83.68",""
"2023-03-09 12","111.32","113.17",""
"2023-03-09 13","104.98","106.73",""
"2023-03-09 14","0.00","0.00",""
"2023-03-09 15","0.00","0.00",""
"2023-03-09 16","0.00","0.00",""
"2023-03-09 17","0.00","0.00",""
"2023-03-09 18","0.00","0.00",""
"2023-03-09 19","50.46","51.50",""
"2023-03-09 20","182.05","185.81",""
"2023-03-09 21","182.20","185.97",""
"2023-03-09 22","182.20","185.97",""
"2023-03-09 23","182.20","185.97",""
"2023-03-09 24","182.20","185.97",""
"2023-03-10 01","187.88","188.53",""
"2023-03-10 02","159.31","159.86",""
"2023-03-10 03","147.03","147.54",""
"2023-03-10 04","147.20","147.71",""
"2023-03-10 05","145.88","146.38",""
"2023-03-10 06","183.14","183.77",""
"2023-03-10 07","191.04","191.70",""
"2023-03-10 08","191.04","191.70",""
"2023-03-10 09","165.79","166.96",""
"2023-03-10 10","125.85","126.73",""
"2023-03-10 11","126.28","127.16",""
"2023-03-10 12","131.01","131.92",""
"2023-03-10 13","98.61","99.29",""
"2023-03-10 14","0.00","0.00",""
"2023-03-10 15","0.00","0.00",""
"2023-03-10 16","0.00","0.00",""
"2023-03-10 17","0.00","0.00",""
"2023-03-10 18","0.00","0.00",""
"2023-03-10 19","49.93","50.45",""
"2023-03-10 20","184.63","186.55",""
"2023-03-10 21","184.63","186.55",""
"2023-03-10 22","184.63","186.55",""
"2023-03-10 23","184.63","186.55",""
"2023-03-10 24","184.63","186.55",""
"2023-03-11 01","188.41","188.34",""
"2023-03-11 02","176.75","176.68",""
"2023-03-11 03","170.00","169.93",""
"2023-03-11 04","170.00","169.93",""
"2023-03-11 05","170.00","169.93",""
"2023-03-11 06","170.00","169.93",""
"2023-03-11 07","170.00","169.93",""
"2023-03-11 08","161.50","161.44",""
"2023-03-11 09","113.88","114.52",""
"2023-03-11 10","76.70","77.12",""
"2023-03-11 11","69.30","69.69",""
"2023-03-11 12","0.00","0.00",""
"2023-03-11 13","0.00","0.00",""
"2023-03-11 14","0.00","0.00",""
"2023-03-11 15","0.00","0.00",""
"2023-03-11 16","0.00","0.00",""
"2023-03-11 17","0.00","0.00",""
"2023-03-11 18","0.00","0.00",""
"2023-03-11 19","81.03","81.76",""
"2023-03-11 20","184.33","185.98",""
"2023-03-11 21","184.33","185.98",""
"2023-03-11 22","184.33","185.98",""
"2023-03-11 23","175.29","176.86",""
"2023-03-11 24","164.25","165.72",""
"2023-03-12 01","153.20","153.66",""
"2023-03-12 02","153.20","153.66",""
"2023-03-12 03","139.21","139.64",""
"2023-03-12 04","134.55","134.96",""
"2023-03-12 05","134.55","134.96",""
"2023-03-12 06","134.55","134.96",""
"2023-03-12 07","134.55","134.96",""
"2023-03-12 08","134.55","134.96",""
"2023-03-12 09","114.25","115.31",""
"2023-03-12 10","24.68","24.91",""
"2023-03-12 11","0.00","0.00",""
"2023-03-12 12","0.00","0.00",""
"2023-03-12 13","0.00","0.00",""
"2023-03-12 14","0.00","0.00",""
"2023-03-12 15","0.00","0.00",""
"2023-03-12 16","0.00","0.00",""
"2023-03-12 17","0.00","0.00",""
"2023-03-12 18","0.00","0.00",""
"2023-03-12 19","42.16","42.88",""
"2023-03-12 20","158.09","160.80",""
"2023-03-12 21","156.75","159.43",""
"2023-03-12 22","138.24","140.61",""
"2023-03-12 23","139.01","141.39",""
"2023-03-12 24","139.01","141.39",""
"2023-03-13 01","133.43","134.59",""
"2023-03-13 02","140.05","141.28",""
"2023-03-13 03","133.43","134.59",""
"2023-03-13 04","137.83","139.03",""
"2023-03-13 05","151.76","153.08",""
"2023-03-13 06","151.76","153.08",""
"2023-03-13 07","151.76","153.08",""
"2023-03-13 08","151.76","153.08",""
"2023-03-13 09","137.00","138.95",""
"2023-03-13 10","137.00","138.95",""
"2023-03-13 11","137.00","138.95",""
"2023-03-13 12","124.84","126.62",""
"2023-03-13 13","93.45","94.78",""
"2023-03-13 14","27.80","28.20",""
"2023-03-13 15","0.00","0.00",""
"2023-03-13 16","0.00","0.00",""
"2023-03-13 17","0.00","0.00",""
"2023-03-13 18","0.00","0.00",""
"2023-03-13 19","52.24","53.59",""
"2023-03-13 20","152.54","156.46",""
"2023-03-13 21","185.33","190.10",""
"2023-03-13 22","257.29","263.92",""
"2023-03-13 23","200.38","205.54",""
"2023-03-13 24","162.44","166.62",""
"2023-03-14 01","170.12","171.94",""
"2023-03-14 02","170.12","171.94",""
"2023-03-14 03","170.12","171.94",""
"2023-03-14 04","170.12","171.94",""
"2023-03-14 05","171.67","173.50",""
"2023-03-14 06","172.93","174.78",""
"2023-03-14 07","172.93","174.78",""
"2023-03-14 08","172.23","174.07",""
"2023-03-14 09","161.40","163.11",""
"2023-03-14 10","161.40","163.11",""
"2023-03-14 11","151.18","152.77",""
"2023-03-14 12","124.11","125.42",""
"2023-03-14 13","65.40","66.09",""
"2023-03-14 14","0.00","0.00",""
"2023-03-14 15","0.00","0.00",""
"2023-03-14 16","0.00","0.00",""
"2023-03-14 17","0.00","0.00",""
"2023-03-14 18","0.00","0.00",""
"2023-03-14 19","86.04","87.97",""
"2023-03-14 20","247.13","252.67",""
"2023-03-14 21","255.81","261.54",""
"2023-03-14 22","255.81","261.54",""
"2023-03-14 23","240.50","245.89",""
"2023-03-14 24","172.84","176.72",""
"2023-03-15 01","169.76","171.43",""
"2023-03-15 02","163.58","165.19",""
"2023-03-15 03","150.50","151.98",""
"2023-03-15 04","142.08","143.48",""
"2023-03-15 05","144.97","146.40",""
"2023-03-15 06","166.45","168.09",""
"2023-03-15 07","169.76","171.43",""
"2023-03-15 08","169.76","171.43",""
"2023-03-15 09","149.58","151.59",""
"2023-03-15 10","66.94","67.84",""
"2023-03-15 11","0.00","0.00",""
"2023-03-15 12","0.00","0.00",""
"2023-03-15 13","0.00","0.00",""
"2023-03-15 14","0.00","0.00",""
"2023-03-15 15","0.00","0.00",""
"2023-03-15 16","0.00","0.00",""
"2023-03-15 17","0.00","0.00",""
"2023-03-15 18","0.00","0.00",""
"2023-03-15 19","46.56","47.70",""
"2023-03-15 20","187.11","191.69",""
"2023-03-15 21","171.37","175.55",""
"2023-03-15 22","161.50","165.44",""
"2023-03-15 23","161.50","165.44",""
"2023-03-15 24","149.26","152.91",""
"2023-03-16 01","148.58","150.47",""
"2023-03-16 02","155.04","157.00",""
"2023-03-16 03","155.26","157.23",""
"2023-03-16 04","155.38","157.35",""
"2023-03-16 05","164.01","166.10",""
"2023-03-16 06","164.38","166.47",""
"2023-03-16 07","164.38","166.47",""
"2023-03-16 08","164.38","166.47",""
"2023-03-16 09","159.46","162.47",""
"2023-03-16 10","119.56","121.82",""
"2023-03-16 11","93.54","95.31",""
"2023-03-16 12","93.96","95.73",""
"2023-03-16 13","23.76","24.21",""
"2023-03-16 14","0.00","0.00",""
"2023-03-16 15","0.00","0.00",""
"2023-03-16 16","0.00","0.00",""
"2023-03-16 17","0.00","0.00",""
"2023-03-16 18","0.00","0.00",""
"2023-03-16 19","78.04","80.38",""
"2023-03-16 20","164.24","169.18",""
"2023-03-16 21","164.24","169.18",""
"2023-03-16 22","164.24","169.18",""
"2023-03-16 23","164.24","169.18",""
"2023-03-16 24","164.24","169.18",""
"2023-03-17 01","164.32","166.43",""
"2023-03-17 02","164.32","166.43",""
"2023-03-17 03","158.72","160.76",""
"2023-03-17 04","149.05","150.96",""
"2023-03-17 05","149.05","150.96",""
"2023-03-17 06","156.43","158.44",""
"2023-03-17 07","164.32","166.43",""
"2023-03-17 08","164.32","166.43",""
"2023-03-17 09","144.21","146.93",""
"2023-03-17 10","74.67","76.08",""
"2023-03-17 11","7.13","7.26",""
"2023-03-17 12","0.00","0.00",""
"2023-03-17 13","0.00","0.00",""
"2023-03-17 14","0.00","0.00",""
"2023-03-17 15","0.00","0.00",""
"2023-03-17 16","0.00","0.00",""
"2023-03-17 17","0.00","0.00",""
"2023-03-17 18","0.00","0.00",""
"2023-03-17 19","0.00","0.00",""
"2023-03-17 20","110.49","114.15",""
"2023-03-17 21","167.24","172.78",""
"2023-03-17 22","162.49","167.88",""
"2023-03-17 23","154.47","159.59",""
"2023-03-17 24","150.97","155.97",""
"2023-03-18 01","148.35","151.29",""
"2023-03-18 02","148.35","151.29",""
"2023-03-18 03","142.58","145.40",""
"2023-03-18 04","126.44","128.95",""
"2023-03-18 05","134.73","137.40",""
"2023-03-18 06","155.08","158.16",""
"2023-03-18 07","160.45","163.63",""
"2023-03-18 08","159.98","163.15",""
"2023-03-18 09","109.73","111.52",""
"2023-03-18 10","37.46","38.06",""
"2023-03-18 11","0.00","0.00",""
"2023-03-18 12","0.00","0.00",""
"2023-03-18 13","0.00","0.00",""
"2023-03-18 14","0.00","0.00",""
"2023-03-18 15","0.00","0.00",""
"2023-03-18 16","0.00","0.00",""
"2023-03-18 17","0.00","0.00",""
"2023-03-18 18","0.00","0.00",""
"2023-03-18 19","32.50","33.42",""
"2023-03-18 20","125.08","128.62",""
"2023-03-18 21","157.69","162.15",""
"2023-03-18 22","143.40","147.44",""
"2023-03-18 23","125.93","129.49",""
"2023-03-18 24","121.62","125.05",""
"2023-03-19 01","130.93","132.36",""
"2023-03-19 02","146.67","148.27",""
"2023-03-19 03","135.56","137.05",""
"2023-03-19 04","140.98","142.51",""
"2023-03-19 05","142.24","143.79",""
"2023-03-19 06","142.24","143.79",""
"2023-03-19 07","142.24","143.79",""
"2023-03-19 08","142.24","143.79",""
"2023-03-19 09","86.24","86.89",""
"2023-03-19 10","0.00","0.00",""
"2023-03-19 11","0.00","0.00",""
"2023-03-19 12","0.00","0.00",""
"2023-03-19 13","0.00","0.00",""
"2023-03-19 14","0.00","0.00",""
"2023-03-19 15","0.00","0.00",""
"2023-03-19 16","0.00","0.00",""
"2023-03-19 17","0.00","0.00",""
"2023-03-19 18","0.00","0.00",""
"2023-03-19 19","33.39","33.83",""
"2023-03-19 20","172.07","174.33",""
"2023-03-19 21","177.04","179.36",""
"2023-03-19 22","168.94","171.16",""
"2023-03-19 23","158.05","160.12",""
"2023-03-19 24","143.63","145.51",""
"2023-03-20 01","144.65","144.99",""
"2023-03-20 02","173.36","173.76",""
"2023-03-20 03","173.51","173.91",""
"2023-03-20 04","166.43","166.82",""
"2023-03-20 05","166.74","167.13",""
"2023-03-20 06","175.67","176.07",""
"2023-03-20 07","175.67","176.07",""
"2023-03-20 08","175.67","176.07",""
"2023-03-20 09","168.10","169.06",""
"2023-03-20 10","129.23","129.97",""
"2023-03-20 11","37.79","38.01",""
"2023-03-20 12","69.66","70.06",""
"2023-03-20 13","111.44","112.08",""
"2023-03-20 14","86.60","87.09",""
"2023-03-20 15","0.00","0.00",""
"2023-03-20 16","80.86","81.33",""
"2023-03-20 17","115.90","116.57",""
"2023-03-20 18","99.39","99.97",""
"2023-03-20 19","143.02","144.39",""
"2023-03-20 20","172.71","174.38",""
"2023-03-20 21","178.84","180.57",""
"2023-03-20 22","174.64","176.32",""
"2023-03-20 23","170.14","171.78",""
"2023-03-20 24","146.46","147.87",""
"2023-03-21 01","140.65","140.82",""
"2023-03-21 02","169.34","169.54",""
"2023-03-21 03","166.57","166.78",""
"2023-03-21 04","146.19","146.38",""
"2023-03-21 05","142.42","142.60",""
"2023-03-21 06","142.42","142.60",""
"2023-03-21 07","160.43","160.63",""
"2023-03-21 08","171.46","171.68",""
"2023-03-21 09","153.56","154.82",""
"2023-03-21 10","83.92","84.61",""
"2023-03-21 11","82.46","83.14",""
"2023-03-21 12","86.11","86.83",""
"2023-03-21 13","68.76","69.33",""
"2023-03-21 14","0.00","0.00",""
"2023-03-21 15","0.00","0.00",""
"2023-03-21 16","0.00","0.00",""
"2023-03-21 17","59.04","59.53",""
"2023-03-21 18","0.00","0.00",""
"2023-03-21 19","107.81","109.43",""
"2023-03-21 20","173.17","175.76",""
"2023-03-21 21","175.34","177.96",""
"2023-03-21 22","175.34","177.96",""
"2023-03-21 23","175.34","177.96",""
"2023-03-21 24","170.41","172.97",""
"2023-03-22 01","149.83","150.14",""
"2023-03-22 02","151.25","151.58",""
"2023-03-22 03","151.49","151.82",""
"2023-03-22 04","151.49","151.82",""
"2023-03-22 05","156.65","156.99",""
"2023-03-22 06","171.27","171.64",""
"2023-03-22 07","172.61","172.98",""
"2023-03-22 08","172.61","172.98",""
"2023-03-22 09","145.01","145.97",""
"2023-03-22 10","71.88","72.36",""
"2023-03-22 11","76.30","76.81",""
"2023-03-22 12","119.96","120.75",""
"2023-03-22 13","128.27","129.11",""
"2023-03-22 14","0.00","0.00",""
"2023-03-22 15","0.00","0.00",""
"2023-03-22 16","0.00","0.00",""
"2023-03-22 17","0.00","0.00",""
"2023-03-22 18","0.00","0.00",""
"2023-03-22 19","100.07","101.66",""
"2023-03-22 20","211.59","214.94",""
"2023-03-22 21","274.21","278.56",""
"2023-03-22 22","214.62","218.02",""
"2023-03-22 23","145.18","147.48",""
"2023-03-22 24","140.34","142.56",""
"2023-03-23 01","142.76","143.31",""
"2023-03-23 02","142.76","143.31",""
"2023-03-23 03","142.76","143.31",""
"2023-03-23 04","142.76","143.31",""
"2023-03-23 05","142.76","143.31",""
"2023-03-23 06","161.67","162.29",""
"2023-03-23 07","172.06","172.72",""
"2023-03-23 08","172.06","172.72",""
"2023-03-23 09","147.72","148.62",""
"2023-03-23 10","75.40","75.86",""
"2023-03-23 11","122.77","123.52",""
"2023-03-23 12","157.65","158.60",""
"2023-03-23 13","132.45","133.25",""
"2023-03-23 14","18.53","18.65",""
"2023-03-23 15","0.00","0.00",""
"2023-03-23 16","0.00","0.00",""
"2023-03-23 17","0.00","0.00",""
"2023-03-23 18","0.00","0.00",""
"2023-03-23 19","106.42","107.83",""
"2023-03-23 20","199.54","202.19",""
"2023-03-23 21","199.54","202.19",""
"2023-03-23 22","199.54","202.19",""
"2023-03-23 23","189.20","191.72",""
"2023-03-23 24","151.98","154.00",""
"2023-03-24 01","143.38","143.88",""
"2023-03-24 02","143.38","143.88",""
"2023-03-24 03","142.97","143.46",""
"2023-03-24 04","142.85","143.34",""
"2023-03-24 05","144.44","144.93",""
"2023-03-24 06","156.49","157.03",""
"2023-03-24 07","173.37","173.96",""
"2023-03-24 08","173.37","173.96",""
"2023-03-24 09","138.74","139.51",""
"2023-03-24 10","32.20","32.38",""
"2023-03-24 11","0.00","0.00",""
"2023-03-24 12","0.00","0.00",""
"2023-03-24 13","0.00","0.00",""
"2023-03-24 14","0.00","0.00",""
"2023-03-24 15","0.00","0.00",""
"2023-03-24 16","0.00","0.00",""
"2023-03-24 17","0.00","0.00",""
"2023-03-24 18","0.00","0.00",""
"2023-03-24 19","110.01","111.36",""
"2023-03-24 20","170.19","172.29",""
"2023-03-24 21","170.19","172.29",""
"2023-03-24 22","170.19","172.29",""
"2023-03-24 23","170.19","172.29",""
"2023-03-24 24","170.19","172.29",""
"2023-03-25 01","173.66","175.11",""
"2023-03-25 02","173.66","175.11",""
"2023-03-25 03","152.77","154.05",""
"2023-03-25 04","173.04","174.48",""
"2023-03-25 05","173.66","175.11",""
"2023-03-25 06","173.66","175.11",""
"2023-03-25 07","173.66","175.11",""
"2023-03-25 08","173.66","175.11",""
"2023-03-25 09","125.26","126.25",""
"2023-03-25 10","1.90","1.92",""
"2023-03-25 11","0.00","0.00",""
"2023-03-25 12","0.00","0.00",""
"2023-03-25 13","0.00","0.00",""
"2023-03-25 14","0.00","0.00",""
"2023-03-25 15","0.00","0.00",""
"2023-03-25 16","0.00","0.00",""
"2023-03-25 17","0.00","0.00",""
"2023-03-25 18","0.00","0.00",""
"2023-03-25 19","23.45","23.62",""
"2023-03-25 20","168.03","169.24",""
"2023-03-25 21","158.95","160.09",""
"2023-03-25 22","153.30","154.41",""
"2023-03-25 23","154.78","155.90",""
"2023-03-25 24","154.42","155.54",""
"2023-03-26 01","173.13","173.71",""
"2023-03-26 02","155.47","156.00",""
"2023-03-26 03","139.89","140.36",""
"2023-03-26 04","139.89","140.36",""
"2023-03-26 05","140.23","140.70",""
"2023-03-26 06","163.25","163.81",""
"2023-03-26 07","172.28","172.86",""
"2023-03-26 08","175.64","176.23",""
"2023-03-26 09","72.78","73.26",""
"2023-03-26 10","0.00","0.00",""
"2023-03-26 11","0.00","0.00",""
"2023-03-26 12","0.00","0.00",""
