Hora;G solar;;;1
13;10,239406;;;
14;10,18578242;;;
15;10,08156072;;;
16;9,900972372;;;
17;9,55617486;;;
18;7,777416134;;;
19;3,458736004;;;
20;0,216523098;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,734748442;;;
8;7,144574467;;;
9;9,108303235;;;
10;9,90837952;;;
11;10,07029351;;;
12;10,15333703;;;
13;10,0866727;;;
14;10,00102103;;;
15;9,887931619;;;
16;9,668533989;;;
17;9,172881044;;;
18;7,888210373;;;
19;3,619085105;;;
20;0,215219023;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,253805467;;;
8;5,773208868;;;
9;8,031554331;;;
10;9,289621866;;;
11;9,862163091;;;
12;10,01792185;;;
13;9,916308298;;;
14;9,842132494;;;
15;9,77296434;;;
16;9,438808082;;;
17;8,597940321;;;
18;6,602183463;;;
19;2,468890679;;;
20;0,196169091;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,362304532;;;
8;6,194164379;;;
9;8,41004915;;;
10;9,61470176;;;
11;9,92517601;;;
12;9,903789175;;;
13;9,837437823;;;
14;9,778806597;;;
15;9,672081074;;;
16;9,499004198;;;
17;8,895686796;;;
18;7,490728217;;;
19;3,373084338;;;
20;0,210367863;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,260690984;;;
8;5,267436299;;;
9;4,081666699;;;
10;8,323249897;;;
11;9,33072632;;;
12;9,608337872;;;
13;8,510932416;;;
14;7,603191672;;;
15;8,938147488;;;
16;9,168186373;;;
17;4,719098712;;;
18;4,248901317;;;
19;2,0689047;;;
20;0,285931202;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,112770866;;;
8;1,030182632;;;
9;1,543831816;;;
10;0,613973955;;;
11;1,655877967;;;
12;2,840604306;;;
13;8,712072992;;;
14;5,08632632;;;
15;4,951328444;;;
16;6,753456199;;;
17;8,962664104;;;
18;7,944755078;;;
19;3,463013371;;;
20;0,180760137;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,538511189;;;
8;7,375656612;;;
9;9,310069767;;;
10;9,922985164;;;
11;9,992779274;;;
12;10,04483796;;;
13;9,981929368;;;
14;9,886158077;;;
15;9,772338384;;;
16;8,501334421;;;
17;5,224558303;;;
18;5,186166326;;;
19;3,630873946;;;
20;0,15339542;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,481862157;;;
8;7,381916173;;;
9;9,327805191;;;
10;9,953344037;;;
11;10,01103633;;;
12;9,960438207;;;
13;9,908170868;;;
14;9,833473434;;;
15;9,742709793;;;
16;9,587681319;;;
17;9,276894091;;;
18;8,19273804;;;
19;3,612825543;;;
20;0,143755696;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,390368233;;;
8;7,286249209;;;
9;9,32258889;;;
10;9,945519585;;;
11;9,994239839;;;
12;9,937486481;;;
13;9,910674693;;;
14;9,837124845;;;
15;9,751786157;;;
16;9,588307276;;;
17;9,267087445;;;
18;8,189503933;;;
19;3,564209616;;;
20;0,143943482;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,253492488;;;
8;7,155528699;;;
9;9,294942493;;;
10;9,967219398;;;
11;10,03388373;;;
12;10,00383783;;;
13;9,978903913;;;
14;9,897529614;;;
15;9,807183276;;;
16;9,630246338;;;
17;9,317894219;;;
18;8,239163121;;;
19;3,471463779;;;
20;0,15335369;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;1,00708485;;;
8;6,556488664;;;
9;8,958804041;;;
10;9,764409606;;;
11;9,946041215;;;
12;9,913074191;;;
13;9,872387042;;;
14;9,827422525;;;
15;9,782249356;;;
16;9,608233546;;;
17;8,917386609;;;
18;5,328467024;;;
19;1,666310569;;;
20;0,20835437;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,843459912;;;
8;5,496327598;;;
9;8,118770888;;;
10;9,252273149;;;
11;9,636714551;;;
12;9,635045335;;;
13;9,574640566;;;
14;9,505889716;;;
15;9,457065136;;;
16;9,219932081;;;
17;8,464611661;;;
18;4,739129309;;;
19;0,746468007;;;
20;0,152028749;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,868226911;;;
8;5,637689362;;;
9;8,200979795;;;
10;9,240379982;;;
11;9,56692044;;;
12;9,553253731;;;
13;9,53176257;;;
14;9,474487582;;;
15;9,38873159;;;
16;9,250290955;;;
17;8,658449415;;;
18;7,166482932;;;
19;2,783433645;;;
20;0,174333654;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,834738257;;;
8;5,611399204;;;
9;8,373743693;;;
10;9,34856607;;;
11;9,651841825;;;
12;9,610737371;;;
13;9,580691476;;;
14;9,487841314;;;
15;9,41262225;;;
16;9,299532838;;;
17;8,740345345;;;
18;7,328814227;;;
19;2,802420981;;;
20;0,155534104;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,867559224;;;
8;5,89808712;;;
9;8,616510353;;;
10;9,518513165;;;
11;9,746256877;;;
12;9,702439947;;;
13;9,671037813;;;
14;9,607294612;;;
15;9,540525956;;;
16;9,346270898;;;
17;8,883793629;;;
18;7,51900057;;;
19;2,838309134;;;
20;0,146603796;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,957634314;;;
8;6,568590483;;;
9;9,222644558;;;
10;9,828465785;;;
11;9,927992813;;;
12;9,955952188;;;
13;9,878646603;;;
14;9,751890483;;;
15;9,671559444;;;
16;9,506932976;;;
17;9,23860644;;;
18;8,087786058;;;
19;3,062401435;;;
20;0,122692271;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,907922963;;;
8;6,608130046;;;
9;9,319250457;;;
10;9,934461026;;;
11;10,01990404;;;
12;9,78266666;;;
13;9,8477661;;;
14;9,831282588;;;
15;9,033084171;;;
16;7,396521817;;;
17;7,040665746;;;
18;7,404346269;;;
19;2,018202251;;;
20;0,138278579;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,849114383;;;
8;6,604269983;;;
9;9,371726448;;;
10;10,0309626;;;
11;10,1123369;;;
12;10,14217414;;;
13;10,09314091;;;
14;10,00634166;;;
15;9,938634067;;;
16;9,787257005;;;
17;9,500360437;;;
18;8,220906066;;;
19;2,99824093;;;
20;0,117653324;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,860392026;;;
8;6,704527293;;;
9;9,47480056;;;
10;10,00456812;;;
11;10,13111558;;;
12;10,14133953;;;
13;10,0514105;;;
14;9,923819772;;;
15;9,868944283;;;
16;9,740831924;;;
17;9,394156543;;;
18;8,250326005;;;
19;2,959327323;;;
20;0,109599355;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,765277989;;;
8;6,485859945;;;
9;9,251751519;;;
10;9,667386403;;;
11;9,790178134;;;
12;9,743544401;;;
13;9,656014866;;;
14;9,580378498;;;
15;9,522373228;;;
16;9,443085449;;;
17;9,138662108;;;
18;8,050020037;;;
19;2,797309006;;;
20;0,092337571;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,630050596;;;
8;5,968089883;;;
9;8,871796136;;;
10;9,475948147;;;
11;9,551375863;;;
12;9,509228149;;;
13;9,431922564;;;
14;9,357955412;;;
15;9,292230017;;;
16;9,157858097;;;
17;8,911231374;;;
18;7,700945158;;;
19;2,586153131;;;
20;0,101409762;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,571575859;;;
8;5,585526349;;;
9;8,608998879;;;
10;9,388940242;;;
11;9,54855906;;;
12;9,519556425;;;
13;9,377881683;;;
14;9,318937479;;;
15;9,312260614;;;
16;9,168290699;;;
17;8,792925661;;;
18;7,431262383;;;
19;2,427577573;;;
20;0,100731643;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,559380146;;;
8;5,896939534;;;
9;8,971218838;;;
10;9,598531226;;;
11;9,702857251;;;
12;9,665717186;;;
13;9,57453624;;;
14;9,493683571;;;
15;9,426184633;;;
16;9,27376431;;;
17;8,997613322;;;
18;7,719306538;;;
19;2,474837263;;;
20;0,086226152;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,541978566;;;
8;6,097662806;;;
9;9,218367191;;;
10;9,698788536;;;
11;9,814799076;;;
12;9,740623272;;;
13;9,622108908;;;
14;9,509645453;;;
15;9,449553662;;;
16;9,348148766;;;
17;9,040699971;;;
18;7,851904916;;;
19;2,45626723;;;
20;0,0767377;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,477202537;;;
8;5,824328621;;;
9;8,957969433;;;
10;9,617831541;;;
11;9,662796057;;;
12;9,614388782;;;
13;9,521329968;;;
14;9,442459493;;;
15;9,405632406;;;
16;9,265313902;;;
17;9,016079029;;;
18;7,659632052;;;
19;2,340465343;;;
20;0,072037813;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,110329637;;;
8;1,902817668;;;
9;1,475915574;;;
10;6,327806017;;;
11;8,006203107;;;
12;8,844254065;;;
13;8,489441255;;;
14;9,07011991;;;
15;7,94600699;;;
16;9,213046564;;;
17;8,855521276;;;
18;7,33580407;;;
19;2,156434235;;;
20;0,080677051;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,277293008;;;
8;2,640089686;;;
9;5,627465411;;;
10;8,847070868;;;
11;8,753699076;;;
12;9,477617363;;;
13;9,374960555;;;
14;9,209499479;;;
15;8,986554764;;;
16;9,149616341;;;
17;8,700910107;;;
18;7,106808446;;;
19;1,999319241;;;
20;0,088613132;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,332606666;;;
8;5,036667132;;;
9;8,485163888;;;
10;9,323319172;;;
11;9,499630154;;;
12;9,476991407;;;
13;9,341784879;;;
14;9,262079795;;;
15;9,281484436;;;
16;9,133654459;;;
17;8,767470111;;;
18;7,20143215;;;
19;1,993059679;;;
20;0,073757106;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,280954851;;;
8;4,707518523;;;
9;7,008741982;;;
10;5,642279707;;;
11;4,962074024;;;
12;7,528494239;;;
13;9,402189647;;;
14;9,351695851;;;
15;9,317268263;;;
16;9,137618848;;;
17;8,67274208;;;
18;7,058192518;;;
19;1,87757077;;;
20;0,074262044;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,145445777;;;
8;1,066122948;;;
9;2,052734166;;;
10;1,875379923;;;
11;2,712804926;;;
12;2,056176925;;;
13;1,981896795;;;
14;3,417944529;;;
15;3,603749179;;;
16;3,737495143;;;
17;5,847280346;;;
18;6,046856032;;;
19;1,843038856;;;
20;0,08330711;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,239610447;;;
8;2,605766424;;;
9;6,851522662;;;
10;9,289204562;;;
11;9,421385636;;;
12;9,253733713;;;
13;9,310174093;;;
14;9,227234903;;;
15;9,243509763;;;
16;9,128229505;;;
17;7,945694012;;;
18;7,102844057;;;
19;1,384838954;;;
20;0,099844872;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,258326536;;;
8;5,314904641;;;
9;9,002516645;;;
10;9,702648599;;;
11;9,750742896;;;
12;9,69106841;;;
13;9,57453624;;;
14;9,494100875;;;
15;9,463950654;;;
16;9,321649956;;;
17;9,077527057;;;
18;7,444407462;;;
19;1,754570386;;;
20;0,068263297;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,221551612;;;
8;4,744136958;;;
9;8,889218582;;;
10;9,671037813;;;
11;9,680427156;;;
12;9,592688969;;;
13;9,455708898;;;
14;9,352947763;;;
15;9,325092715;;;
16;9,224731079;;;
17;9,007524295;;;
18;7,392974732;;;
19;1,665267309;;;
20;0,060130041;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,224545769;;;
8;4,805063357;;;
9;8,619953112;;;
10;9,338968076;;;
11;9,520808337;;;
12;9,393008957;;;
13;9,299637164;;;
14;9,237667506;;;
15;9,209603805;;;
16;9,182792017;;;
17;8,833508485;;;
18;7,182966444;;;
19;1,538302537;;;
20;0,062052769;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,086907401;;;
8;0,797201753;;;
9;1,174413362;;;
10;1,174830666;;;
11;1,132682952;;;
12;0,971614002;;;
13;1,067270534;;;
14;1,235131108;;;
15;1,272688477;;;
16;0,777536297;;;
17;1,393393688;;;
18;4,387237627;;;
19;1,269767348;;;
20;0,056657027;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,148898969;;;
8;3,163910658;;;
9;4,576589362;;;
10;5,984990699;;;
11;9,199066876;;;
12;9,345749268;;;
13;9,195937096;;;
14;9,121343988;;;
15;9,117692577;;;
16;8,925211061;;;
17;8,372909085;;;
18;6,368910471;;;
19;1,29438829;;;
20;0,04956703;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,135263557;;;
8;4,144992597;;;
9;8,139427441;;;
10;9,102252325;;;
11;9,307252964;;;
12;9,299950143;;;
13;9,162135464;;;
14;9,080761164;;;
15;9,050297965;;;
16;8,895791122;;;
17;8,537013922;;;
18;6,611155501;;;
19;1,242329604;;;
20;0,035385994;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,130735808;;;
8;4,340499567;;;
9;8,378751342;;;
10;9,209499479;;;
11;9,347835788;;;
12;9,216384997;;;
13;9,085560161;;;
14;9,005124796;;;
15;8,981964418;;;
16;8,957552129;;;
17;8,650416311;;;
18;6,758463848;;;
19;1,154487091;;;
20;0,029281878;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
