"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-06-21 23","125.13","123.92",""
"2023-06-21 24","125.13","123.92",""
"2023-06-22 01","112.79","111.80",""
"2023-06-22 02","112.79","111.80",""
"2023-06-22 03","108.01","107.07",""
"2023-06-22 04","93.14","92.33",""
"2023-06-22 05","100.22","99.34",""
"2023-06-22 06","104.55","103.64",""
"2023-06-22 07","112.79","111.80",""
"2023-06-22 08","112.79","111.80",""
"2023-06-22 09","67.21","66.40",""
"2023-06-22 10","0.00","0.00",""
"2023-06-22 11","60.82","60.09",""
"2023-06-22 12","50.14","49.54",""
"2023-06-22 13","68.45","67.63",""
"2023-06-22 14","69.15","68.32",""
"2023-06-22 15","50.72","50.11",""
"2023-06-22 16","50.14","49.54",""
"2023-06-22 17","66.91","66.11",""
"2023-06-22 18","110.83","109.49",""
"2023-06-22 19","118.99","117.59",""
"2023-06-22 20","118.96","117.57",""
"2023-06-22 21","118.96","117.57",""
"2023-06-22 22","101.58","100.39",""
"2023-06-22 23","101.58","100.39",""
"2023-06-22 24","101.58","100.39",""
"2023-06-23 01","99.72","99.11",""
"2023-06-23 02","94.56","93.98",""
"2023-06-23 03","87.29","86.75",""
"2023-06-23 04","87.29","86.75",""
"2023-06-23 05","93.16","92.59",""
"2023-06-23 06","104.07","103.44",""
"2023-06-23 07","104.36","103.73",""
"2023-06-23 08","99.11","98.50",""
"2023-06-23 09","47.39","46.52",""
"2023-06-23 10","1.85","1.81",""
"2023-06-23 11","54.79","53.79",""
"2023-06-23 12","56.39","55.35",""
"2023-06-23 13","69.72","68.44",""
"2023-06-23 14","55.41","54.39",""
"2023-06-23 15","54.08","53.08",""
"2023-06-23 16","2.67","2.62",""
"2023-06-23 17","33.99","33.36",""
"2023-06-23 18","110.06","108.04",""
"2023-06-23 19","99.80","97.85",""
"2023-06-23 20","98.06","96.14",""
"2023-06-23 21","106.42","104.34",""
"2023-06-23 22","95.92","94.05",""
"2023-06-23 23","92.62","90.82",""
"2023-06-23 24","112.67","110.48",""
"2023-06-24 01","81.99","80.62",""
"2023-06-24 02","77.54","76.24",""
"2023-06-24 03","81.20","79.84",""
"2023-06-24 04","93.27","91.71",""
"2023-06-24 05","99.52","97.85",""
"2023-06-24 06","99.52","97.85",""
"2023-06-24 07","87.85","86.38",""
"2023-06-24 08","77.70","76.40",""
"2023-06-24 09","17.76","17.38",""
"2023-06-24 10","0.00","0.00",""
"2023-06-24 11","0.00","0.00",""
"2023-06-24 12","0.00","0.00",""
"2023-06-24 13","0.00","0.00",""
"2023-06-24 14","0.00","0.00",""
"2023-06-24 15","0.00","0.00",""
"2023-06-24 16","0.00","0.00",""
"2023-06-24 17","0.00","0.00",""
"2023-06-24 18","115.41","112.97",""
"2023-06-24 19","138.37","135.91",""
"2023-06-24 20","118.09","115.99",""
"2023-06-24 21","92.70","91.05",""
"2023-06-24 22","84.29","82.79",""
"2023-06-24 23","109.39","107.44",""
"2023-06-24 24","83.31","81.82",""
"2023-06-25 01","76.53","75.59",""
"2023-06-25 02","79.65","78.67",""
"2023-06-25 03","79.65","78.67",""
"2023-06-25 04","73.17","72.27",""
"2023-06-25 05","67.03","66.21",""
"2023-06-25 06","75.89","74.96",""
"2023-06-25 07","70.38","69.51",""
"2023-06-25 08","59.30","58.56",""
"2023-06-25 09","6.28","6.17",""
"2023-06-25 10","0.00","0.00",""
"2023-06-25 11","0.00","0.00",""
"2023-06-25 12","0.00","0.00",""
"2023-06-25 13","0.00","0.00",""
"2023-06-25 14","0.00","0.00",""
"2023-06-25 15","0.00","0.00",""
"2023-06-25 16","0.00","0.00",""
"2023-06-25 17","0.00","0.00",""
"2023-06-25 18","60.71","59.66",""
"2023-06-25 19","111.03","108.63",""
"2023-06-25 20","86.31","84.44",""
"2023-06-25 21","80.77","79.02",""
"2023-06-25 22","78.83","77.13",""
"2023-06-25 23","78.83","77.13",""
"2023-06-25 24","78.83","77.13",""
"2023-06-26 01","78.41","76.96",""
"2023-06-26 02","79.23","77.76",""
"2023-06-26 03","70.02","68.73",""
"2023-06-26 04","58.84","57.75",""
"2023-06-26 05","58.84","57.75",""
"2023-06-26 06","61.51","60.37",""
"2023-06-26 07","64.17","62.98",""
"2023-06-26 08","58.82","57.73",""
"2023-06-26 09","0.00","0.00",""
"2023-06-26 10","0.00","0.00",""
"2023-06-26 11","0.00","0.00",""
"2023-06-26 12","0.00","0.00",""
"2023-06-26 13","0.00","0.00",""
"2023-06-26 14","0.00","0.00",""
"2023-06-26 15","0.00","0.00",""
"2023-06-26 16","0.00","0.00",""
"2023-06-26 17","0.00","0.00",""
"2023-06-26 18","64.39","62.91",""
"2023-06-26 19","119.26","116.20",""
"2023-06-26 20","121.17","118.06",""
"2023-06-26 21","121.75","118.63",""
"2023-06-26 22","115.76","112.79",""
"2023-06-26 23","84.38","82.21",""
"2023-06-26 24","82.85","80.72",""
"2023-06-27 01","76.80","74.85",""
"2023-06-27 02","57.45","56.00",""
"2023-06-27 03","57.45","56.00",""
"2023-06-27 04","57.63","56.17",""
"2023-06-27 05","59.55","58.04",""
"2023-06-27 06","60.24","58.72",""
"2023-06-27 07","74.80","72.91",""
"2023-06-27 08","93.28","90.92",""
"2023-06-27 09","38.98","37.52",""
"2023-06-27 10","0.00","0.00",""
"2023-06-27 11","0.00","0.00",""
"2023-06-27 12","0.00","0.00",""
"2023-06-27 13","0.00","0.00",""
"2023-06-27 14","0.00","0.00",""
"2023-06-27 15","0.00","0.00",""
"2023-06-27 16","0.00","0.00",""
"2023-06-27 17","15.83","15.24",""
"2023-06-27 18","86.69","83.45",""
"2023-06-27 19","93.96","91.13",""
"2023-06-27 20","89.81","87.11",""
"2023-06-27 21","89.64","86.94",""
"2023-06-27 22","115.17","111.70",""
"2023-06-27 23","99.26","96.28",""
"2023-06-27 24","86.45","83.85",""
"2023-06-28 01","82.22","80.69",""
"2023-06-28 02","75.11","73.71",""
"2023-06-28 03","74.05","72.67",""
"2023-06-28 04","63.58","62.40",""
"2023-06-28 05","57.53","56.46",""
"2023-06-28 06","68.90","67.62",""
"2023-06-28 07","90.78","89.09",""
"2023-06-28 08","113.12","111.01",""
"2023-06-28 09","40.50","39.80",""
"2023-06-28 10","0.00","0.00",""
"2023-06-28 11","0.00","0.00",""
"2023-06-28 12","26.76","26.30",""
"2023-06-28 13","67.97","66.80",""
"2023-06-28 14","76.05","74.75",""
"2023-06-28 15","72.90","71.65",""
"2023-06-28 16","52.90","51.99",""
"2023-06-28 17","106.47","104.65",""
"2023-06-28 18","159.68","156.96",""
"2023-06-28 19","177.54","173.46",""
"2023-06-28 20","137.65","134.49",""
"2023-06-28 21","121.10","118.32",""
"2023-06-28 22","127.85","124.92",""
"2023-06-28 23","109.55","107.04",""
"2023-06-28 24","114.24","111.62",""
"2023-06-29 01","97.78","95.56",""
"2023-06-29 02","67.62","66.09",""
"2023-06-29 03","58.55","57.23",""
"2023-06-29 04","58.00","56.69",""
"2023-06-29 05","57.69","56.39",""
"2023-06-29 06","57.25","55.95",""
"2023-06-29 07","67.32","65.80",""
"2023-06-29 08","72.71","71.06",""
"2023-06-29 09","37.47","36.56",""
"2023-06-29 10","0.00","0.00",""
"2023-06-29 11","0.00","0.00",""
"2023-06-29 12","0.00","0.00",""
"2023-06-29 13","0.00","0.00",""
"2023-06-29 14","0.00","0.00",""
"2023-06-29 15","0.00","0.00",""
"2023-06-29 16","0.00","0.00",""
"2023-06-29 17","27.46","26.79",""
"2023-06-29 18","146.01","142.42",""
"2023-06-29 19","252.91","245.57",""
"2023-06-29 20","156.35","151.81",""
"2023-06-29 21","141.59","137.48",""
"2023-06-29 22","111.73","108.49",""
"2023-06-29 23","118.32","114.89",""
"2023-06-29 24","120.12","116.64",""
"2023-06-30 01","85.43","83.65",""
"2023-06-30 02","83.08","81.36",""
"2023-06-30 03","79.69","78.04",""
"2023-06-30 04","69.76","68.32",""
"2023-06-30 05","69.37","67.93",""
"2023-06-30 06","75.10","73.54",""
"2023-06-30 07","85.43","83.65",""
"2023-06-30 08","87.73","85.91",""
"2023-06-30 09","37.94","37.04",""
"2023-06-30 10","0.00","0.00",""
"2023-06-30 11","0.00","0.00",""
"2023-06-30 12","0.00","0.00",""
"2023-06-30 13","0.00","0.00",""
"2023-06-30 14","0.00","0.00",""
"2023-06-30 15","0.00","0.00",""
"2023-06-30 16","0.00","0.00",""
"2023-06-30 17","40.74","39.77",""
"2023-06-30 18","142.21","138.84",""
"2023-06-30 19","166.99","163.18",""
"2023-06-30 20","138.85","135.67",""
"2023-06-30 21","133.88","130.82",""
"2023-06-30 22","133.88","130.82",""
"2023-06-30 23","129.73","126.76",""
"2023-06-30 24","108.97","106.48",""
"2023-07-01 01","97.12","96.41",""
"2023-07-01 02","86.90","86.27",""
"2023-07-01 03","86.48","85.85",""
"2023-07-01 04","82.67","82.07",""
"2023-07-01 05","82.67","82.07",""
"2023-07-01 06","82.67","82.07",""
"2023-07-01 07","82.67","82.07",""
"2023-07-01 08","81.94","81.35",""
"2023-07-01 09","0.00","0.00",""
"2023-07-01 10","0.00","0.00",""
"2023-07-01 11","0.00","0.00",""
"2023-07-01 12","0.00","0.00",""
"2023-07-01 13","0.00","0.00",""
"2023-07-01 14","0.00","0.00",""
"2023-07-01 15","0.00","0.00",""
"2023-07-01 16","0.00","0.00",""
"2023-07-01 17","0.00","0.00",""
"2023-07-01 18","80.67","80.51",""
"2023-07-01 19","119.57","119.26",""
"2023-07-01 20","97.52","97.26",""
"2023-07-01 21","89.44","89.21",""
"2023-07-01 22","89.44","89.21",""
"2023-07-01 23","94.35","94.10",""
"2023-07-01 24","93.41","93.17",""
"2023-07-02 01","76.30","76.14",""
"2023-07-02 02","69.41","69.26",""
"2023-07-02 03","68.20","68.05",""
"2023-07-02 04","67.27","67.13",""
"2023-07-02 05","67.27","67.13",""
"2023-07-02 06","68.59","68.44",""
"2023-07-02 07","68.17","68.03",""
"2023-07-02 08","62.46","62.33",""
"2023-07-02 09","0.00","0.00",""
"2023-07-02 10","0.00","0.00",""
"2023-07-02 11","0.00","0.00",""
"2023-07-02 12","0.00","0.00",""
"2023-07-02 13","0.00","0.00",""
"2023-07-02 14","0.00","0.00",""
"2023-07-02 15","0.00","0.00",""
"2023-07-02 16","0.00","0.00",""
"2023-07-02 17","0.00","0.00",""
"2023-07-02 18","48.24","48.01",""
"2023-07-02 19","131.40","130.25",""
"2023-07-02 20","134.24","133.06",""
"2023-07-02 21","134.24","133.06",""
"2023-07-02 22","99.66","98.79",""
"2023-07-02 23","87.59","86.82",""
"2023-07-02 24","83.90","83.17",""
"2023-07-03 01","83.14","82.48",""
"2023-07-03 02","81.52","80.87",""
"2023-07-03 03","76.20","75.60",""
"2023-07-03 04","76.20","75.60",""
"2023-07-03 05","71.86","71.29",""
"2023-07-03 06","65.10","64.58",""
"2023-07-03 07","72.35","71.77",""
"2023-07-03 08","76.52","75.92",""
"2023-07-03 09","0.00","0.00",""
"2023-07-03 10","0.00","0.00",""
"2023-07-03 11","0.00","0.00",""
"2023-07-03 12","0.00","0.00",""
"2023-07-03 13","0.00","0.00",""
"2023-07-03 14","0.00","0.00",""
"2023-07-03 15","0.00","0.00",""
"2023-07-03 16","0.00","0.00",""
"2023-07-03 17","3.86","3.80",""
"2023-07-03 18","100.52","98.74",""
"2023-07-03 19","101.37","99.72",""
"2023-07-03 20","86.57","85.16",""
"2023-07-03 21","108.02","106.26",""
"2023-07-03 22","114.14","112.28",""
"2023-07-03 23","114.14","112.28",""
"2023-07-03 24","104.32","102.62",""
"2023-07-04 01","84.74","83.89",""
"2023-07-04 02","68.93","68.24",""
"2023-07-04 03","68.93","68.24",""
"2023-07-04 04","68.93","68.24",""
"2023-07-04 05","68.93","68.24",""
"2023-07-04 06","72.51","71.79",""
"2023-07-04 07","76.89","76.12",""
"2023-07-04 08","76.75","75.99",""
"2023-07-04 09","34.28","33.65",""
"2023-07-04 10","0.00","0.00",""
"2023-07-04 11","0.00","0.00",""
"2023-07-04 12","0.00","0.00",""
"2023-07-04 13","0.00","0.00",""
"2023-07-04 14","0.00","0.00",""
"2023-07-04 15","0.00","0.00",""
"2023-07-04 16","0.00","0.00",""
"2023-07-04 17","9.68","9.51",""
"2023-07-04 18","118.47","116.33",""
"2023-07-04 19","133.90","131.27",""
"2023-07-04 20","95.49","93.62",""
"2023-07-04 21","90.11","88.34",""
"2023-07-04 22","93.80","91.96",""
"2023-07-04 23","97.47","95.55",""
"2023-07-04 24","85.43","83.75",""
"2023-07-05 01","78.39","77.37",""
"2023-07-05 02","65.21","64.34",""
"2023-07-05 03","58.14","57.37",""
"2023-07-05 04","57.77","57.01",""
"2023-07-05 05","47.70","47.07",""
"2023-07-05 06","53.20","52.50",""
"2023-07-05 07","76.79","75.79",""
"2023-07-05 08","67.70","66.81",""
"2023-07-05 09","0.00","0.00",""
"2023-07-05 10","0.00","0.00",""
"2023-07-05 11","0.00","0.00",""
"2023-07-05 12","0.00","0.00",""
"2023-07-05 13","0.00","0.00",""
"2023-07-05 14","0.00","0.00",""
"2023-07-05 15","0.00","0.00",""
"2023-07-05 16","0.00","0.00",""
"2023-07-05 17","4.21","4.14",""
"2023-07-05 18","135.37","132.93",""
"2023-07-05 19","126.77","124.42",""
"2023-07-05 20","100.69","98.82",""
"2023-07-05 21","90.38","88.70",""
"2023-07-05 22","90.36","88.69",""
"2023-07-05 23","82.67","81.14",""
"2023-07-05 24","82.67","81.14",""
"2023-07-06 01","77.14","76.31",""
"2023-07-06 02","66.21","65.50",""
"2023-07-06 03","65.37","64.67",""
"2023-07-06 04","65.37","64.67",""
"2023-07-06 05","66.42","65.71",""
"2023-07-06 06","68.51","67.78",""
"2023-07-06 07","68.51","67.78",""
"2023-07-06 08","61.76","61.09",""
"2023-07-06 09","0.00","0.00",""
"2023-07-06 10","0.00","0.00",""
"2023-07-06 11","48.13","47.51",""
"2023-07-06 12","40.40","39.88",""
"2023-07-06 13","0.00","0.00",""
"2023-07-06 14","0.00","0.00",""
"2023-07-06 15","0.00","0.00",""
"2023-07-06 16","0.00","0.00",""
"2023-07-06 17","64.05","63.22",""
"2023-07-06 18","126.27","124.63",""
"2023-07-06 19","138.14","136.45",""
"2023-07-06 20","138.14","136.45",""
"2023-07-06 21","113.65","112.26",""
"2023-07-06 22","113.65","112.26",""
"2023-07-06 23","118.74","117.28",""
"2023-07-06 24","118.34","116.89",""
"2023-07-07 01","92.89","92.51",""
"2023-07-07 02","77.83","77.52",""
"2023-07-07 03","67.22","66.95",""
"2023-07-07 04","65.64","65.37",""
"2023-07-07 05","74.83","74.53",""
"2023-07-07 06","76.81","76.50",""
"2023-07-07 07","81.70","81.37",""
"2023-07-07 08","94.91","94.52",""
"2023-07-07 09","49.88","49.66",""
"2023-07-07 10","19.24","19.15",""
"2023-07-07 11","64.80","64.50",""
"2023-07-07 12","71.94","71.61",""
"2023-07-07 13","69.31","68.99",""
"2023-07-07 14","56.00","55.74",""
"2023-07-07 15","56.00","55.74",""
"2023-07-07 16","54.64","54.39",""
"2023-07-07 17","73.42","73.08",""
"2023-07-07 18","153.63","152.94",""
"2023-07-07 19","138.14","137.29",""
"2023-07-07 20","90.80","90.25",""
"2023-07-07 21","90.80","90.25",""
"2023-07-07 22","90.80","90.25",""
"2023-07-07 23","92.29","91.73",""
"2023-07-07 24","86.98","86.46",""
"2023-07-08 01","75.94","75.81",""
"2023-07-08 02","72.26","72.14",""
"2023-07-08 03","66.87","66.76",""
"2023-07-08 04","69.35","69.23",""
"2023-07-08 05","72.48","72.36",""
"2023-07-08 06","72.48","72.36",""
"2023-07-08 07","72.48","72.36",""
"2023-07-08 08","66.87","66.76",""
"2023-07-08 09","0.00","0.00",""
"2023-07-08 10","0.00","0.00",""
"2023-07-08 11","0.00","0.00",""
"2023-07-08 12","0.00","0.00",""
"2023-07-08 13","0.00","0.00",""
"2023-07-08 14","0.00","0.00",""
"2023-07-08 15","0.00","0.00",""
"2023-07-08 16","0.00","0.00",""
"2023-07-08 17","0.00","0.00",""
"2023-07-08 18","79.85","79.41",""
"2023-07-08 19","113.37","112.30",""
"2023-07-08 20","85.57","84.77",""
"2023-07-08 21","85.16","84.36",""
"2023-07-08 22","85.16","84.36",""
"2023-07-08 23","83.73","82.94",""
"2023-07-08 24","83.44","82.66",""
"2023-07-09 01","83.73","83.01",""
"2023-07-09 02","75.52","74.88",""
"2023-07-09 03","67.39","66.81",""
"2023-07-09 04","60.17","59.65",""
"2023-07-09 05","60.71","60.18",""
"2023-07-09 06","66.62","66.05",""
"2023-07-09 07","65.85","65.28",""
"2023-07-09 08","62.35","61.82",""
"2023-07-09 09","0.00","0.00",""
"2023-07-09 10","0.00","0.00",""
"2023-07-09 11","0.00","0.00",""
"2023-07-09 12","0.00","0.00",""
"2023-07-09 13","0.00","0.00",""
"2023-07-09 14","0.00","0.00",""
"2023-07-09 15","0.00","0.00",""
"2023-07-09 16","0.00","0.00",""
"2023-07-09 17","0.00","0.00",""
"2023-07-09 18","61.15","60.11",""
"2023-07-09 19","138.94","137.15",""
"2023-07-09 20","94.23","93.02",""
"2023-07-09 21","93.33","92.12",""
"2023-07-09 22","98.86","97.59",""
"2023-07-09 23","95.24","94.02",""
"2023-07-09 24","92.59","91.40",""
"2023-07-10 01","73.95","73.75",""
"2023-07-10 02","68.39","68.20",""
"2023-07-10 03","68.39","68.20",""
"2023-07-10 04","66.83","66.64",""
"2023-07-10 05","66.31","66.12",""
"2023-07-10 06","72.83","72.63",""
"2023-07-10 07","77.17","76.96",""
"2023-07-10 08","75.20","75.00",""
"2023-07-10 09","41.29","40.97",""
"2023-07-10 10","0.00","0.00",""
"2023-07-10 11","0.00","0.00",""
"2023-07-10 12","0.00","0.00",""
"2023-07-10 13","0.00","0.00",""
"2023-07-10 14","0.00","0.00",""
"2023-07-10 15","0.00","0.00",""
"2023-07-10 16","0.00","0.00",""
"2023-07-10 17","50.55","50.17",""
"2023-07-10 18","76.76","76.17",""
"2023-07-10 19","86.84","86.51",""
"2023-07-10 20","77.19","76.90",""
"2023-07-10 21","96.23","95.87",""
"2023-07-10 22","77.14","76.85",""
"2023-07-10 23","90.30","89.96",""
"2023-07-10 24","96.23","95.87",""
"2023-07-11 01","79.80","79.32",""
"2023-07-11 02","75.44","74.98",""
"2023-07-11 03","65.34","64.94",""
"2023-07-11 04","65.34","64.94",""
"2023-07-11 05","67.07","66.67",""
"2023-07-11 06","66.69","66.29",""
"2023-07-11 07","70.47","70.05",""
"2023-07-11 08","75.25","74.80",""
"2023-07-11 09","71.05","70.17",""
"2023-07-11 10","28.19","27.84",""
"2023-07-11 11","0.00","0.00",""
"2023-07-11 12","0.00","0.00",""
"2023-07-11 13","0.00","0.00",""
"2023-07-11 14","0.00","0.00",""
"2023-07-11 15","0.00","0.00",""
"2023-07-11 16","0.00","0.00",""
"2023-07-11 17","42.47","41.95",""
"2023-07-11 18","85.32","84.26",""
"2023-07-11 19","81.97","80.85",""
"2023-07-11 20","78.51","77.44",""
"2023-07-11 21","79.59","78.51",""
"2023-07-11 22","84.36","83.21",""
"2023-07-11 23","78.73","77.66",""
"2023-07-11 24","78.73","77.66",""
"2023-07-12 01","76.51","75.60",""
"2023-07-12 02","64.10","63.34",""
"2023-07-12 03","60.61","59.90",""
"2023-07-12 04","66.13","65.35",""
"2023-07-12 05","68.08","67.27",""
"2023-07-12 06","73.54","72.68",""
"2023-07-12 07","74.71","73.83",""
"2023-07-12 08","76.48","75.57",""
"2023-07-12 09","52.53","52.16",""
"2023-07-12 10","4.42","4.39",""
"2023-07-12 11","55.88","55.49",""
"2023-07-12 12","42.83","42.53",""
"2023-07-12 13","34.82","34.57",""
"2023-07-12 14","34.82","34.57",""
"2023-07-12 15","34.82","34.57",""
"2023-07-12 16","20.31","20.17",""
"2023-07-12 17","6.61","6.56",""
"2023-07-12 18","72.75","72.24",""
"2023-07-12 19","89.85","88.22",""
"2023-07-12 20","79.42","77.97",""
"2023-07-12 21","78.64","77.21",""
"2023-07-12 22","78.64","77.21",""
"2023-07-12 23","78.65","77.22",""
"2023-07-12 24","78.81","77.38",""
"2023-07-13 01","73.50","72.16",""
"2023-07-13 02","75.29","73.92",""
"2023-07-13 03","72.24","70.91",""
"2023-07-13 04","65.16","63.96",""
"2023-07-13 05","75.20","73.83",""
"2023-07-13 06","75.20","73.83",""
"2023-07-13 07","75.32","73.95",""
"2023-07-13 08","77.24","75.83",""
"2023-07-13 09","37.51","36.68",""
"2023-07-13 10","0.00","0.00",""
"2023-07-13 11","0.00","0.00",""
"2023-07-13 12","0.00","0.00",""
"2023-07-13 13","0.00","0.00",""
"2023-07-13 14","0.00","0.00",""
"2023-07-13 15","0.00","0.00",""
"2023-07-13 16","0.00","0.00",""
"2023-07-13 17","7.15","7.00",""
"2023-07-13 18","74.33","72.68",""
"2023-07-13 19","78.99","77.15",""
"2023-07-13 20","78.99","77.15",""
"2023-07-13 21","78.99","77.15",""
"2023-07-13 22","78.99","77.15",""
"2023-07-13 23","78.99","77.15",""
"2023-07-13 24","78.08","76.26",""
"2023-07-14 01","73.81","72.07",""
"2023-07-14 02","69.95","68.30",""
"2023-07-14 03","66.08","64.52",""
"2023-07-14 04","66.08","64.52",""
"2023-07-14 05","68.01","66.41",""
"2023-07-14 06","73.80","72.06",""
"2023-07-14 07","73.80","72.06",""
"2023-07-14 08","72.13","70.43",""
"2023-07-14 09","39.49","38.55",""
"2023-07-14 10","37.91","37.00",""
"2023-07-14 11","62.01","60.53",""
"2023-07-14 12","69.24","67.59",""
"2023-07-14 13","67.12","65.52",""
"2023-07-14 14","61.98","60.50",""
"2023-07-14 15","60.15","58.71",""
"2023-07-14 16","22.90","22.36",""
"2023-07-14 17","52.97","51.70",""
"2023-07-14 18","158.74","154.94",""
"2023-07-14 19","112.30","109.52",""
"2023-07-14 20","92.15","89.87",""
"2023-07-14 21","89.88","87.66",""
"2023-07-14 22","85.86","83.74",""
"2023-07-14 23","85.86","83.74",""
"2023-07-14 24","104.25","101.68",""
"2023-07-15 01","85.37","84.00",""
"2023-07-15 02","79.30","78.02",""
"2023-07-15 03","75.89","74.67",""
"2023-07-15 04","75.87","74.65",""
"2023-07-15 05","75.87","74.65",""
"2023-07-15 06","75.87","74.65",""
"2023-07-15 07","75.87","74.65",""
"2023-07-15 08","73.40","72.22",""
"2023-07-15 09","53.23","52.34",""
"2023-07-15 10","35.65","35.05",""
"2023-07-15 11","35.65","35.05",""
"2023-07-15 12","35.65","35.05",""
"2023-07-15 13","35.65","35.05",""
"2023-07-15 14","35.65","35.05",""
"2023-07-15 15","22.58","22.20",""
"2023-07-15 16","0.00","0.00",""
"2023-07-15 17","13.67","13.44",""
"2023-07-15 18","87.60","86.13",""
"2023-07-15 19","118.54","116.54",""
"2023-07-15 20","121.32","119.27",""
"2023-07-15 21","107.57","105.76",""
"2023-07-15 22","113.37","111.46",""
"2023-07-15 23","93.09","91.52",""
"2023-07-15 24","82.56","81.17",""
"2023-07-16 01","77.39","76.69",""
"2023-07-16 02","73.19","72.53",""
"2023-07-16 03","68.82","68.20",""
"2023-07-16 04","69.18","68.56",""
"2023-07-16 05","66.13","65.53",""
"2023-07-16 06","66.42","65.82",""
"2023-07-16 07","66.57","65.97",""
"2023-07-16 08","64.82","64.24",""
"2023-07-16 09","24.40","24.22",""
"2023-07-16 10","0.00","0.00",""
"2023-07-16 11","0.00","0.00",""
"2023-07-16 12","0.00","0.00",""
"2023-07-16 13","0.00","0.00",""
"2023-07-16 14","0.00","0.00",""
"2023-07-16 15","0.00","0.00",""
"2023-07-16 16","0.00","0.00",""
"2023-07-16 17","0.00","0.00",""
"2023-07-16 18","44.19","43.86",""
"2023-07-16 19","81.74","81.26",""
"2023-07-16 20","84.63","84.13",""
"2023-07-16 21","100.85","100.25",""
"2023-07-16 22","114.12","113.44",""
"2023-07-16 23","88.57","88.05",""
"2023-07-16 24","78.53","78.06",""
"2023-07-17 01","77.76","77.53",""
"2023-07-17 02","73.75","73.53",""
"2023-07-17 03","73.75","73.53",""
"2023-07-17 04","73.75","73.53",""
"2023-07-17 05","73.75","73.53",""
"2023-07-17 06","76.26","76.03",""
"2023-07-17 07","84.53","84.28",""
"2023-07-17 08","119.21","118.86",""
"2023-07-17 09","72.54","72.04",""
"2023-07-17 10","66.13","65.68",""
"2023-07-17 11","62.23","61.81",""
"2023-07-17 12","70.81","70.33",""
"2023-07-17 13","71.19","70.71",""
"2023-07-17 14","49.72","49.39",""
"2023-07-17 15","0.00","0.00",""
"2023-07-17 16","0.00","0.00",""
"2023-07-17 17","7.65","7.59",""
"2023-07-17 18","103.09","102.38",""
"2023-07-17 19","115.11","114.09",""
"2023-07-17 20","117.21","116.17",""
"2023-07-17 21","117.21","116.17",""
"2023-07-17 22","116.40","115.37",""
"2023-07-17 23","113.98","112.97",""
"2023-07-17 24","99.24","98.36",""
"2023-07-18 01","77.44","76.85",""
"2023-07-18 02","68.99","68.45",""
"2023-07-18 03","76.56","75.96",""
"2023-07-18 04","76.15","75.56",""
"2023-07-18 05","75.22","74.64",""
"2023-07-18 06","77.71","77.10",""
"2023-07-18 07","82.66","82.02",""
"2023-07-18 08","84.33","83.67",""
"2023-07-18 09","51.58","51.13",""
"2023-07-18 10","0.00","0.00",""
"2023-07-18 11","69.88","69.28",""
"2023-07-18 12","69.42","68.82",""
"2023-07-18 13","69.52","68.92",""
"2023-07-18 14","69.39","68.79",""
"2023-07-18 15","69.80","69.19",""
"2023-07-18 16","52.34","51.88",""
"2023-07-18 17","12.71","12.60",""
"2023-07-18 18","78.46","77.78",""
"2023-07-18 19","85.38","84.53",""
"2023-07-18 20","85.38","84.53",""
"2023-07-18 21","85.38","84.53",""
"2023-07-18 22","85.34","84.49",""
"2023-07-18 23","84.08","83.24",""
"2023-07-18 24","80.11","79.30",""
"2023-07-19 01","76.49","75.89",""
"2023-07-19 02","76.44","75.85",""
"2023-07-19 03","66.17","65.65",""
"2023-07-19 04","70.03","69.49",""
"2023-07-19 05","72.84","72.27",""
"2023-07-19 06","77.96","77.35",""
"2023-07-19 07","118.27","117.34",""
"2023-07-19 08","109.41","108.55",""
"2023-07-19 09","64.58","64.09",""
"2023-07-19 10","70.13","69.60",""
"2023-07-19 11","66.05","65.55",""
"2023-07-19 12","59.95","59.50",""
"2023-07-19 13","61.13","60.67",""
"2023-07-19 14","70.71","70.17",""
"2023-07-19 15","44.17","43.84",""
"2023-07-19 16","60.01","59.55",""
"2023-07-19 17","76.34","75.76",""
"2023-07-19 18","93.02","92.32",""
"2023-07-19 19","106.62","105.94",""
"2023-07-19 20","108.80","108.11",""
"2023-07-19 21","108.80","108.11",""
"2023-07-19 22","112.46","111.75",""
"2023-07-19 23","113.46","112.74",""
"2023-07-19 24","91.85","91.26",""
"2023-07-20 01","79.51","79.35",""
"2023-07-20 02","78.91","78.75",""
"2023-07-20 03","78.31","78.15",""
"2023-07-20 04","75.10","74.95",""
"2023-07-20 05","75.10","74.95",""
"2023-07-20 06","75.03","74.88",""
"2023-07-20 07","79.86","79.70",""
"2023-07-20 08","80.23","80.07",""
"2023-07-20 09","56.34","56.19",""
"2023-07-20 10","29.37","29.29",""
"2023-07-20 11","29.37","29.29",""
"2023-07-20 12","29.37","29.29",""
"2023-07-20 13","29.37","29.29",""
"2023-07-20 14","3.43","3.42",""
"2023-07-20 15","19.09","19.04",""
"2023-07-20 16","2.45","2.44",""
"2023-07-20 17","30.11","30.03",""
"2023-07-20 18","72.96","72.77",""
"2023-07-20 19","86.41","86.27",""
"2023-07-20 20","86.41","86.27",""
"2023-07-20 21","86.41","86.27",""
"2023-07-20 22","86.41","86.27",""
"2023-07-20 23","81.51","81.38",""
"2023-07-20 24","73.40","73.28",""
