"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-07 15","0.00","0.00",""
"2023-01-07 16","0.00","0.00",""
"2023-01-07 17","0.00","0.00",""
"2023-01-07 18","0.00","0.00",""
"2023-01-07 19","0.00","0.00",""
"2023-01-07 20","35.42","34.84",""
"2023-01-07 21","156.13","153.59",""
"2023-01-07 22","156.13","153.59",""
"2023-01-07 23","146.19","143.82",""
"2023-01-07 24","140.44","138.16",""
"2023-01-08 01","143.71","143.10",""
"2023-01-08 02","140.92","140.32",""
"2023-01-08 03","134.60","134.03",""
"2023-01-08 04","141.52","140.92",""
"2023-01-08 05","143.71","143.10",""
"2023-01-08 06","141.98","141.38",""
"2023-01-08 07","135.47","134.89",""
"2023-01-08 08","57.59","57.35",""
"2023-01-08 09","0.00","0.00",""
"2023-01-08 10","0.00","0.00",""
"2023-01-08 11","0.00","0.00",""
"2023-01-08 12","0.00","0.00",""
"2023-01-08 13","0.00","0.00",""
"2023-01-08 14","0.00","0.00",""
"2023-01-08 15","0.00","0.00",""
"2023-01-08 16","0.00","0.00",""
"2023-01-08 17","0.00","0.00",""
"2023-01-08 18","0.00","0.00",""
"2023-01-08 19","0.00","0.00",""
"2023-01-08 20","67.02","66.23",""
"2023-01-08 21","167.32","165.33",""
"2023-01-08 22","179.25","177.12",""
"2023-01-08 23","154.62","152.78",""
"2023-01-08 24","149.88","148.10",""
"2023-01-09 01","164.89","164.22",""
"2023-01-09 02","164.89","164.22",""
"2023-01-09 03","157.11","156.48",""
"2023-01-09 04","156.25","155.62",""
"2023-01-09 05","156.25","155.62",""
"2023-01-09 06","156.25","155.62",""
"2023-01-09 07","156.25","155.62",""
"2023-01-09 08","134.85","134.31",""
"2023-01-09 09","128.83","128.37",""
"2023-01-09 10","151.69","151.15",""
"2023-01-09 11","149.67","149.13",""
"2023-01-09 12","142.31","141.80",""
"2023-01-09 13","92.90","92.57",""
"2023-01-09 14","0.00","0.00",""
"2023-01-09 15","0.00","0.00",""
"2023-01-09 16","0.00","0.00",""
"2023-01-09 17","0.00","0.00",""
"2023-01-09 18","0.00","0.00",""
"2023-01-09 19","0.00","0.00",""
"2023-01-09 20","82.32","81.48",""
"2023-01-09 21","204.36","202.27",""
"2023-01-09 22","204.36","202.27",""
"2023-01-09 23","204.36","202.27",""
"2023-01-09 24","204.36","202.27",""
"2023-01-10 01","187.49","186.92",""
"2023-01-10 02","148.34","147.89",""
"2023-01-10 03","132.50","132.10",""
"2023-01-10 04","145.19","144.75",""
"2023-01-10 05","137.78","137.35",""
"2023-01-10 06","141.87","141.43",""
"2023-01-10 07","152.20","151.74",""
"2023-01-10 08","136.79","136.38",""
"2023-01-10 09","77.50","76.80",""
"2023-01-10 10","59.00","58.47",""
"2023-01-10 11","16.72","16.57",""
"2023-01-10 12","0.00","0.00",""
"2023-01-10 13","45.87","45.47",""
"2023-01-10 14","0.00","0.00",""
"2023-01-10 15","0.00","0.00",""
"2023-01-10 16","0.00","0.00",""
"2023-01-10 17","0.00","0.00",""
"2023-01-10 18","0.00","0.00",""
"2023-01-10 19","0.00","0.00",""
"2023-01-10 20","98.21","96.21",""
"2023-01-10 21","182.17","178.48",""
"2023-01-10 22","182.17","178.48",""
"2023-01-10 23","182.17","178.48",""
"2023-01-10 24","182.17","178.48",""
"2023-01-11 01","170.47","168.30",""
"2023-01-11 02","141.03","139.23",""
"2023-01-11 03","153.63","151.67",""
"2023-01-11 04","170.47","168.30",""
"2023-01-11 05","170.47","168.30",""
"2023-01-11 06","170.47","168.30",""
"2023-01-11 07","170.47","168.30",""
"2023-01-11 08","130.00","128.34",""
"2023-01-11 09","37.55","37.12",""
"2023-01-11 10","0.00","0.00",""
"2023-01-11 11","0.00","0.00",""
"2023-01-11 12","0.00","0.00",""
"2023-01-11 13","0.00","0.00",""
"2023-01-11 14","0.00","0.00",""
"2023-01-11 15","0.00","0.00",""
"2023-01-11 16","0.00","0.00",""
"2023-01-11 17","0.00","0.00",""
"2023-01-11 18","0.00","0.00",""
"2023-01-11 19","0.00","0.00",""
"2023-01-11 20","131.56","128.09",""
"2023-01-11 21","163.23","158.93",""
"2023-01-11 22","163.23","158.93",""
"2023-01-11 23","163.23","158.93",""
"2023-01-11 24","163.23","158.93",""
"2023-01-12 01","183.23","179.18",""
"2023-01-12 02","172.14","168.33",""
"2023-01-12 03","146.25","143.02",""
"2023-01-12 04","146.25","143.02",""
"2023-01-12 05","146.25","143.02",""
"2023-01-12 06","146.25","143.02",""
"2023-01-12 07","181.62","177.60",""
"2023-01-12 08","125.80","123.02",""
"2023-01-12 09","41.65","41.03",""
"2023-01-12 10","0.00","0.00",""
"2023-01-12 11","0.00","0.00",""
"2023-01-12 12","0.00","0.00",""
"2023-01-12 13","0.00","0.00",""
"2023-01-12 14","0.00","0.00",""
"2023-01-12 15","0.00","0.00",""
"2023-01-12 16","0.00","0.00",""
"2023-01-12 17","0.00","0.00",""
"2023-01-12 18","0.00","0.00",""
"2023-01-12 19","0.00","0.00",""
"2023-01-12 20","148.86","145.99",""
"2023-01-12 21","227.52","223.14",""
"2023-01-12 22","230.68","226.24",""
"2023-01-12 23","238.06","233.48",""
"2023-01-12 24","230.86","226.41",""
"2023-01-13 01","232.28","228.30",""
"2023-01-13 02","163.38","160.58",""
"2023-01-13 03","155.11","152.45",""
"2023-01-13 04","155.11","152.45",""
"2023-01-13 05","155.11","152.45",""
"2023-01-13 06","155.11","152.45",""
"2023-01-13 07","155.11","152.45",""
"2023-01-13 08","112.40","110.47",""
"2023-01-13 09","23.11","22.67",""
"2023-01-13 10","0.00","0.00",""
"2023-01-13 11","0.00","0.00",""
"2023-01-13 12","0.00","0.00",""
"2023-01-13 13","0.00","0.00",""
"2023-01-13 14","0.00","0.00",""
"2023-01-13 15","0.00","0.00",""
"2023-01-13 16","0.00","0.00",""
"2023-01-13 17","0.00","0.00",""
"2023-01-13 18","0.00","0.00",""
"2023-01-13 19","0.00","0.00",""
"2023-01-13 20","113.70","111.74",""
"2023-01-13 21","208.06","204.47",""
"2023-01-13 22","177.03","173.98",""
"2023-01-13 23","152.96","150.33",""
"2023-01-13 24","152.96","150.33",""
"2023-01-14 01","155.09","153.46",""
"2023-01-14 02","155.09","153.46",""
"2023-01-14 03","155.09","153.46",""
"2023-01-14 04","155.09","153.46",""
"2023-01-14 05","155.09","153.46",""
"2023-01-14 06","151.17","149.58",""
"2023-01-14 07","142.02","140.53",""
"2023-01-14 08","80.52","79.67",""
"2023-01-14 09","0.00","0.00",""
"2023-01-14 10","0.00","0.00",""
"2023-01-14 11","0.00","0.00",""
"2023-01-14 12","0.00","0.00",""
"2023-01-14 13","0.00","0.00",""
"2023-01-14 14","0.00","0.00",""
"2023-01-14 15","0.00","0.00",""
"2023-01-14 16","0.00","0.00",""
"2023-01-14 17","0.00","0.00",""
"2023-01-14 18","0.00","0.00",""
"2023-01-14 19","0.00","0.00",""
"2023-01-14 20","42.48","41.21",""
"2023-01-14 21","147.25","142.84",""
"2023-01-14 22","152.88","148.30",""
"2023-01-14 23","149.50","145.02",""
"2023-01-14 24","147.25","142.84",""
"2023-01-15 01","161.21","159.28",""
"2023-01-15 02","130.97","129.41",""
"2023-01-15 03","122.99","121.53",""
"2023-01-15 04","143.30","141.58",""
"2023-01-15 05","137.08","135.45",""
"2023-01-15 06","109.59","108.29",""
"2023-01-15 07","118.10","116.70",""
"2023-01-15 08","64.96","64.19",""
"2023-01-15 09","0.00","0.00",""
"2023-01-15 10","0.00","0.00",""
"2023-01-15 11","0.00","0.00",""
"2023-01-15 12","0.00","0.00",""
"2023-01-15 13","0.00","0.00",""
"2023-01-15 14","0.00","0.00",""
"2023-01-15 15","0.00","0.00",""
"2023-01-15 16","0.00","0.00",""
