Hora;G solar;CMg;;
;4,286704649;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,078320982;11,21;;
;0,487429901;6,49;;
;0,939347554;5,78;;
;1,329841989;0,90;;
;1,544919254;0,90;;
;1,759078908;0,90;;
;3,633818104;0,90;;
;6,898137441;0,90;;
;9,428741127;0,90;;
;9,147882864;0,90;;
;8,582276663;0,90;;
;7,330709404;0,90;;
;4,205152543;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,043638249;11,21;;
;0,41060194;6,49;;
;2,060640064;5,78;;
;3,466119592;0,90;;
;4,798103439;0,90;;
;9,392688852;0,90;;
;9,385480702;0,90;;
;9,469298371;0,90;;
;9,301488501;0,90;;
;9,088329543;0,90;;
;8,467224765;0,90;;
;7,2594281;0,90;;
;4,127618152;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,076101135;11,21;;
;0,608978669;6,49;;
;1,911975266;5,78;;
;8,869842892;0,90;;
;9,216222788;0,90;;
;9,406768275;0,90;;
;9,445873978;0,90;;
;9,41859357;0,90;;
;9,283672754;0,90;;
;9,068096108;0,90;;
;8,434380285;0,90;;
;7,196107742;0,90;;
;3,996860772;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,094772235;11,21;;
;0,775395195;6,49;;
;8,421243009;5,78;;
;8,73725015;0,90;;
;9,251518277;0,90;;
;9,379011146;0,90;;
;9,395626735;0,90;;
;9,390234008;0,90;;
;9,314414597;0,90;;
;9,025604159;0,90;;
;8,445761038;0,90;;
;7,211805241;0,90;;
;3,940502132;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,06304308;11,21;;
;0,32079922;6,49;;
;0,868470364;5,78;;
;1,37434678;0,90;;
;1,952334923;0,90;;
;2,997575322;0,90;;
;5,931105134;0,90;;
;6,821194202;0,90;;
;9,284911154;0,90;;
;9,02546598;0,90;;
;8,429521614;0,90;;
;7,195414454;0,90;;
;3,849770732;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,056980543;11,21;;
;0,635937146;6,49;;
;8,357545668;5,78;;
;2,327612852;0,90;;
;4,688550676;0,90;;
;4,449499366;0,90;;
;5,869136395;0,90;;
;3,11907884;0,90;;
;5,732786333;0,90;;
;9,08214589;0,90;;
;8,472040257;0,90;;
;7,199961163;0,90;;
;3,781591957;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,077823166;11,21;;
;7,243958294;6,49;;
;8,294165084;5,78;;
;8,788442318;0,90;;
;9,085113301;0,90;;
;9,356919829;0,90;;
;9,42643436;0,90;;
;9,389663781;0,90;;
;9,337607193;0,90;;
;8,998010111;0,90;;
;8,457033043;0,90;;
;7,19716542;0,90;;
;3,682262812;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,242286031;11,21;;
;7,34384479;6,49;;
;8,431182403;5,78;;
;8,794565603;0,90;;
;9,19219348;0,90;;
;9,474851514;0,90;;
;9,373574225;0,90;;
;9,399260825;0,90;;
;9,38340927;0,90;;
;9,102133681;0,90;;
;8,433022447;0,90;;
;7,148717342;0,90;;
;3,600961201;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,156330937;11,21;;
;7,267659677;6,49;;
;8,438216347;5,78;;
;8,955274068;0,90;;
;9,291314801;0,90;;
;9,450451682;0,90;;
;9,462646627;0,90;;
;9,375116521;0,90;;
;9,370598086;0,90;;
;9,117762041;0,90;;
;8,482432048;0,90;;
;7,20057547;0,90;;
;3,529118695;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,17725897;11,21;;
;7,374225401;6,49;;
;8,530696824;5,78;;
;9,060707786;0,90;;
;9,284941782;0,90;;
;9,367877052;0,90;;
;9,39399288;0,90;;
;9,430563164;0,90;;
;9,283195399;0,90;;
;9,063491739;0,90;;
;8,477684015;0,90;;
;7,198289403;0,90;;
;3,441863239;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,031982296;11,21;;
;0,410550837;6,49;;
;0,823621573;5,78;;
;1,668941114;0,90;;
;9,299100962;0,90;;
;9,351987846;0,90;;
;9,516379996;0,90;;
;9,447446056;0,90;;
;9,283378306;0,90;;
;9,127380575;0,90;;
;8,538558117;0,90;;
;7,20267571;0,90;;
;3,35318807;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,169861835;11,21;;
;7,396642329;6,49;;
;8,649051095;5,78;;
;9,156492073;0,90;;
;9,294516772;0,90;;
;9,478838431;0,90;;
;9,426841999;0,90;;
;9,519313098;0,90;;
;9,516090638;0,90;;
;9,261675973;0,90;;
;8,648050611;0,90;;
;7,285371145;0,90;;
;3,31350791;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,036505089;11,21;;
;0,388013879;6,49;;
;0,750858227;5,78;;
;1,114828392;0,90;;
;3,580837291;0,90;;
;5,717195905;0,90;;
;9,529250363;0,90;;
;9,51746018;0,90;;
;9,390493443;0,90;;
;9,139169645;0,90;;
;8,543759278;0,90;;
;7,24503092;0,90;;
;3,173872199;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;3,899667798;11,21;;
;7,241033511;6,49;;
;8,371626388;5,78;;
;8,844563113;0,90;;
;9,151280518;0,90;;
;9,308023486;0,90;;
;9,352955206;0,90;;
;9,374769941;0,90;;
;9,279103469;0,90;;
;9,010087508;0,90;;
;8,422993933;0,90;;
;7,11749758;0,90;;
;2,968224033;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;3,764456638;11,21;;
;7,235074731;6,49;;
;8,331105441;5,78;;
;8,783316174;0,90;;
;9,119299529;0,90;;
;9,373065635;0,90;;
;9,300942063;0,90;;
;9,351654056;0,90;;
;9,327289885;0,90;;
;9,074814057;0,90;;
;8,462786452;0,90;;
;7,064932557;0,90;;
;2,740146796;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,847056904;32,73;;
;7,405376898;32,73;;
;8,498925887;14,90;;
;8,913185161;5,86;;
;9,26427795;5,84;;
;9,404722296;5,83;;
;9,323617539;5,83;;
;9,432186472;5,81;;
;9,321889557;5,80;;
;9,012316831;5,80;;
;8,429942847;5,81;;
;7,088642782;5,80;;
;2,707192087;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,798596557;32,73;;
;7,367721593;32,73;;
;8,460951823;14,90;;
;8,965805137;5,86;;
;9,1690062;5,84;;
;9,404858923;5,83;;
;9,426260745;5,83;;
;9,393698981;5,81;;
;9,255873308;5,80;;
;9,02936664;5,80;;
;8,488776469;5,81;;
;7,097072862;5,80;;
;2,580985633;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,80173919;32,73;;
;7,425674367;32,73;;
;8,626272103;14,90;;
;9,104382167;5,86;;
;9,350796615;5,84;;
;9,496226417;5,83;;
;9,369688625;5,83;;
;9,391241824;5,81;;
;9,423222532;5,80;;
;9,161514375;5,80;;
;8,4969002;5,81;;
;7,124549898;5,80;;
;2,467183105;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;0,03459733;32,73;;
;0,527348358;32,73;;
;1,314861088;14,90;;
;3,069521853;5,86;;
;9,218501226;5,84;;
;9,280664168;5,83;;
;9,391842481;5,83;;
;9,360376526;5,81;;
;9,350219578;5,80;;
;9,107589229;5,80;;
;8,50034632;5,81;;
;7,075302279;5,80;;
;2,280342652;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,602552696;32,73;;
;7,357045719;32,73;;
;8,576208021;14,90;;
;9,134419864;5,86;;
;9,332596623;5,84;;
;9,424203175;5,83;;
;9,440987993;5,83;;
;9,364616589;5,81;;
;9,318471583;5,80;;
;9,074902557;5,80;;
;8,447054052;5,81;;
;7,058675126;5,80;;
;2,076950008;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;0,004581914;32,73;;
;0,414739247;32,73;;
;0,898406474;14,90;;
;1,827970233;5,86;;
;9,076569325;5,84;;
;9,333877863;5,83;;
;9,411253037;5,83;;
;9,467325521;5,81;;
;9,392663809;5,80;;
;9,136808193;5,80;;
;8,484439516;5,81;;
;7,018327695;5,80;;
;1,876335706;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;7,36596E-05;32,73;;
;0,355745858;32,73;;
;0,917594047;14,90;;
;2,415683868;5,86;;
;9,099510524;5,84;;
;9,187046594;5,83;;
;9,267815249;5,83;;
;9,265416499;5,81;;
;9,314631572;5,80;;
;9,039305795;5,80;;
;8,415841412;5,81;;
;6,957733913;5,80;;
;1,637961341;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,28325861;32,73;;
;7,252738184;32,73;;
;8,445316341;14,90;;
;9,027339007;5,86;;
;9,153526016;5,84;;
;9,298908085;5,83;;
;9,288954378;5,83;;
;9,292587354;5,81;;
;9,266473458;5,80;;
;9,012884223;5,80;;
;8,423062324;5,81;;
;6,914929381;5,80;;
;1,348877466;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;3,230669882;32,73;;
;7,214931136;32,73;;
;8,502179299;14,90;;
;9,057041799;5,86;;
;9,286683061;5,84;;
;9,296487788;5,83;;
;9,331722148;5,83;;
;9,265006195;5,81;;
;9,239919603;5,80;;
;8,989097683;5,80;;
;8,37259685;5,81;;
;6,870588052;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,002366181;32,73;;
;7,160776112;32,73;;
;8,382477456;14,90;;
;8,882966983;5,86;;
;9,151344101;5,84;;
;9,197996709;5,83;;
;9,202338823;5,83;;
;9,284892724;5,81;;
;9,228758886;5,80;;
;8,965207272;5,80;;
;8,325529665;5,81;;
;6,798375092;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,002121609;32,73;;
;0,440505646;32,73;;
;1,324758559;14,90;;
;8,882923748;5,86;;
;9,063880751;5,84;;
;9,105348216;5,83;;
;9,179082193;5,83;;
;9,238748452;5,81;;
;9,220465968;5,80;;
;8,959572652;5,80;;
;8,302263249;5,81;;
;6,77104179;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;0,00121964;32,73;;
;0,355239341;32,73;;
;0,711950717;14,90;;
;1,438767205;5,86;;
;9,075930115;5,84;;
;9,119539856;5,83;;
;9,139661595;5,83;;
;9,178167262;5,81;;
;9,062523829;5,80;;
;8,853919096;5,80;;
;8,185467307;5,81;;
;6,634504576;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;2,764417292;32,73;;
;7,016851111;32,73;;
;8,290297646;14,90;;
;8,746787447;5,86;;
;8,937646094;5,84;;
;9,057899296;5,83;;
;9,070241501;5,83;;
;9,058291818;5,81;;
;9,018140888;5,80;;
;8,79747847;5,80;;
;8,128698391;5,81;;
;6,54042145;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;2,70104906;32,73;;
;7,043452952;32,73;;
;8,27112189;14,90;;
;8,697090138;5,86;;
;8,95611549;5,84;;
;9,079379662;5,83;;
;9,014673207;5,83;;
;9,024139391;5,81;;
;8,991452112;5,80;;
;8,822262266;5,80;;
;8,179123281;5,81;;
;6,526084369;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;0,00432984;32,73;;
;0,596881023;32,73;;
;8,248781108;14,90;;
;8,745623346;5,86;;
;9,065354063;5,84;;
;9,102873771;5,83;;
;9,116043902;5,83;;
;9,072034644;5,81;;
;8,983921043;5,80;;
;8,774200632;5,80;;
;8,147820618;5,81;;
;6,517053998;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,012549583;32,73;;
;0,488464665;32,73;;
;8,291133117;14,90;;
;8,614309447;5,86;;
;8,756374662;5,84;;
;9,023398709;5,83;;
;9,112494533;5,83;;
;9,079223236;5,81;;
;9,035434324;5,80;;
;8,843987232;5,80;;
;8,20940868;5,81;;
;6,541808449;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;2,482631336;32,73;;
;7,09057251;32,73;;
;8,27105914;14,90;;
;8,756864398;5,86;;
;9,001738242;5,84;;
;9,059435444;5,83;;
;9,010894227;5,83;;
;9,063785906;5,81;;
;9,013701278;5,80;;
;8,727199328;5,80;;
;8,137752719;5,81;;
;6,474320085;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,006399407;32,73;;
;0,369856656;32,73;;
;1,235872293;14,90;;
;8,616618626;5,86;;
;8,762765998;5,84;;
;8,880859184;5,83;;
;4,419257117;5,83;;
;3,721796601;5,81;;
;4,43650598;5,80;;
;8,778180612;5,80;;
;8,106167623;5,81;;
;6,320856264;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;0,005948565;32,73;;
;7,052443868;32,73;;
;8,320031954;14,90;;
;8,677687084;5,86;;
;8,770690013;5,84;;
;8,922911118;5,83;;
;8,98248366;5,83;;
;8,970612479;5,81;;
;8,964188358;5,80;;
;8,791198266;5,80;;
;8,097272384;5,81;;
;6,309911508;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,509498825;32,73;;
;1,127612065;14,90;;
;3,18649571;5,86;;
;8,972142676;5,84;;
;8,847815736;5,83;;
;5,54191711;5,83;;
;5,175397101;5,81;;
;3,672260526;5,80;;
;1,741583922;5,80;;
;1,520483576;5,81;;
;6,251092452;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,272191219;32,73;;
;0,496551451;14,90;;
;0,748762358;5,86;;
;1,431571139;5,84;;
;1,798724082;5,83;;
;2,105742874;5,83;;
;2,564957812;5,81;;
;4,162779862;5,80;;
;2,628305202;5,80;;
;1,445673109;5,81;;
;6,144622138;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,318934485;32,73;;
;1,338500256;14,90;;
;8,576421542;5,86;;
;8,794239709;5,84;;
;8,631038593;5,83;;
;8,754505019;5,83;;
;8,864905846;5,81;;
;8,850642458;5,80;;
;8,676529696;5,80;;
;8,011920343;5,81;;
;6,107011943;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;6,781099607;32,73;;
;8,072933483;14,90;;
;3,303203744;5,86;;
;4,294100092;5,84;;
;5,307532793;5,83;;
;4,720495327;5,83;;
;4,492067589;5,81;;
;2,987972243;5,80;;
;1,859928294;5,80;;
;1,00541227;5,81;;
;6,011492801;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,284112417;32,73;;
;0,624259448;14,90;;
;3,017842444;5,86;;
;1,841284183;5,84;;
;4,152569541;5,83;;
;3,861059771;5,83;;
;2,301591982;5,81;;
;1,254621233;5,80;;
;2,413787024;5,80;;
;1,224665549;5,81;;
;5,817776197;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,522098646;32,73;;
;0,68314375;14,90;;
;2,294583562;5,86;;
;0,577044919;5,84;;
;0,686319747;5,83;;
;0,715605762;5,83;;
;0,657579211;5,81;;
;8,737793626;5,80;;
;8,538785894;5,80;;
;7,814519195;5,81;;
;5,754073046;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;6,882343377;32,73;;
;8,140950644;14,90;;
;8,483865764;5,86;;
;8,651768773;5,84;;
;8,807024848;5,83;;
;3,869729403;5,83;;
;3,483787614;5,81;;
;3,448494818;5,80;;
;8,591167601;5,80;;
;7,851507045;5,81;;
;5,836757835;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;6,84536795;32,73;;
;8,102981656;14,90;;
;8,514481287;5,86;;
;8,795968395;5,84;;
;8,763850624;5,83;;
;4,14970411;5,83;;
;8,893059982;5,81;;
;8,76688816;5,80;;
;8,521350247;5,80;;
;7,835007749;5,81;;
;5,784891627;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;6,816614722;32,73;;
;8,075694705;14,90;;
;8,449842222;5,86;;
;8,670741358;5,84;;
;8,821019748;5,83;;
;8,729030784;5,83;;
;8,786019638;5,81;;
;8,728625162;5,80;;
;8,467591101;5,80;;
;7,757923526;5,81;;
;5,69941465;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,347116414;32,73;;
;8,072081401;14,90;;
;8,504765666;5,86;;
;8,712008543;5,84;;
;8,728067218;5,83;;
;8,755070663;5,83;;
;8,725475887;5,81;;
;8,738546041;5,80;;
;8,461949345;5,80;;
;7,758788948;5,81;;
;5,650724537;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;0,21708704;32,73;;
;0,515567623;14,90;;
;0,693787516;5,86;;
;1,165114977;5,84;;
;1,703639866;5,83;;
;1,858211537;5,83;;
;1,685518066;5,81;;
;1,411378894;5,80;;
;1,246655111;5,80;;
;0,907481349;5,81;;
;5,665152684;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;142,74;;
;-0,015;142,13;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,93;;
;-0,015;142,23;;
;-0,015;32,73;;
;6,991539646;32,73;;
;8,311332455;14,90;;
;8,725395961;5,86;;
;8,796529484;5,84;;
;8,78834908;5,83;;
;8,842149613;5,83;;
;8,850790437;5,81;;
;8,845710743;5,80;;
;8,59040289;5,80;;
;7,893509907;5,81;;
;5,657313601;5,80;;
;-0,015;146,22;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;145,63;;
;-0,015;141,84;;
;-0,015;133,30;;
;-0,015;130,74;;
;-0,015;130,62;;
;-0,015;130,62;;
;-0,015;130,62;;
;-0,015;130,62;;
;-0,015;130,92;;
;-0,015;45,33;;
