Hora;G solar;CMg;;
20;4,832465693;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,22480921;0,00;;
9;0,733460273;0,00;;
10;1,462942616;0,00;;
11;8,973652483;0,00;;
12;9,383933512;0,00;;
13;9,436883345;0,00;;
14;9,451781246;0,00;;
15;9,519780146;0,00;;
16;9,317974373;0,00;;
17;8,934207588;0,00;;
18;8,289557838;0,00;;
19;7,155760198;0,00;;
20;4,827378258;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,237126625;0,00;;
9;0,804107303;0,00;;
10;1,527461721;0,00;;
11;2,74898673;0,00;;
12;9,35481557;0,00;;
13;9,500233005;0,00;;
14;9,542309955;0,00;;
15;9,491735591;0,00;;
16;9,329228864;0,00;;
17;8,989693883;0,00;;
18;8,357431251;0,00;;
19;7,187866844;0,00;;
20;4,834831672;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,25172197;0,00;;
9;0,865684718;0,00;;
10;1,610008431;0,00;;
11;8,970015926;0,00;;
12;9,356460834;0,00;;
13;9,505761246;0,00;;
14;9,566514936;0,00;;
15;9,411989334;0,00;;
16;9,359767126;0,00;;
17;8,981555685;0,00;;
18;8,362351868;0,00;;
19;7,162772764;0,00;;
20;4,820501035;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,272929942;0,00;;
9;1,083227459;0,00;;
10;8,3660308;0,00;;
11;8,921171926;0,00;;
12;9,362324515;0,00;;
13;9,563069535;0,00;;
14;9,487950815;0,00;;
15;9,429829532;0,00;;
16;9,328187444;0,00;;
17;9,073670248;0,00;;
18;8,396560545;0,00;;
19;7,215596785;0,00;;
20;4,879250755;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,567403895;0,00;;
9;7,514273178;0,00;;
10;8,470784752;0,00;;
11;8,975027073;0,00;;
12;9,360582178;0,00;;
13;9,464972685;0,00;;
14;9,486331061;0,00;;
15;9,426837444;0,00;;
16;9,266143066;0,00;;
17;8,9305177;0,00;;
18;8,310435573;0,00;;
19;7,185809302;0,00;;
20;4,872612041;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,272051758;0,00;;
9;0,929685461;0,00;;
10;2,133734859;0,00;;
11;9,056818223;0,00;;
12;9,40984342;0,00;;
13;9,545157505;0,00;;
14;9,558622254;0,00;;
15;9,557087376;0,00;;
16;9,414688257;0,00;;
17;9,008529235;0,00;;
18;8,421969322;0,00;;
19;7,244866555;0,00;;
20;4,894981927;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,236613381;0,00;;
9;0,774537824;0,00;;
10;1,670604385;0,00;;
11;9,044732563;0,00;;
12;9,421577635;0,00;;
13;9,548956946;0,00;;
14;9,643641858;0,00;;
15;9,630307757;0,00;;
16;9,370397284;0,00;;
