Hora;G solar
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;3,905671382
8;19,96524262
9;27,63282931
10;29,69852501
11;30,21941738
12;30,32665992
13;30,4619898
14;30,42879568
15;30,20154362
16;29,4482924
17;28,24819725
18;25,77140512
19;17,38810211
20;1,917190312
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;3,7800444
8;19,64734507
9;27,74007185
10;29,67809786
11;30,20154362
12;30,37262101
13;30,43390247
14;30,32921332
15;30,13770877
16;29,80321416
17;28,35033301
18;25,74842457
19;17,33958762
20;1,95094618
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;3,534918582
8;19,4239231
9;27,49749943
10;29,54276798
11;30,11217483
12;30,22707756
13;30,27559204
14;30,22197077
15;30,04578659
16;29,73171913
17;28,20223616
18;25,56202681
19;17,02092406
20;1,827821524
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;3,363330508
8;19,279401
9;27,50005282
10;29,46616616
11;29,93599065
12;29,99471871
13;30,16324271
14;30,10962143
15;29,85683543
16;29,40488471
17;27,95455694
18;25,44942214
19;17,09318511
20;1,883970657
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;3,123566817
8;18,23276483
9;26,75190839
10;29,16231228
11;29,82619471
12;30,10706804
13;30,12749519
14;30,11472822
15;29,9538644
16;29,24146749
17;27,82688725
18;24,84554447
19;16,26665148
20;1,867424665
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,689234506
8;14,42182436
9;22,12337118
10;25,06513635
11;27,57665464
12;28,75632264
13;29,27210822
14;29,2797684
15;29,04996295
16;28,02094519
17;25,53138609
18;20,02397068
19;11,80714896
20;1,381411659
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,557734719
8;15,70796889
9;24,12140195
10;27,58686822
11;29,04485616
12;29,33338967
13;29,40488471
14;29,00144846
15;28,36054658
16;27,15534464
17;25,29570782
18;21,96455008
19;13,48830353
20;1,499174188
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,929764215
8;18,75850864
9;27,31365506
10;29,38190416
11;30,17600968
12;29,98450513
13;30,11983501
14;30,10451465
15;29,87981598
16;29,46616616
17;27,96987731
18;25,45529495
19;17,11616565
20;1,957661606
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,008857156
8;15,13805136
9;26,91532561
10;29,04485616
11;29,93088386
12;29,98961192
13;30,2934658
14;30,24750471
15;30,02535944
16;29,70873859
17;28,32224567
18;25,79438566
19;17,34367305
20;1,981663509
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,531945439
8;17,78234613
9;27,22683967
10;29,45850598
11;30,09174768
12;30,21686398
13;30,32155313
14;30,27559204
15;30,10451465
16;29,74193271
17;28,31969228
18;25,80970603
19;17,33218278
20;1,998669111
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,555947341
8;19,09964207
9;27,64304288
10;29,7444861
11;30,23729113
12;30,28835901
13;30,30878616
14;30,26793186
15;30,08919428
16;29,47893313
17;28,38608052
18;26,01397754
19;17,66616671
20;2,064495608
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,359667949
8;17,81809365
9;26,64466585
10;28,75632264
11;29,60660283
12;29,58362228
13;29,63469016
14;29,61170962
15;29,50446707
16;28,8993127
17;27,64048949
18;24,89278226
19;16,54880152
20;1,964606838
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,198650926
8;17,19889562
9;26,27187033
10;28,85079822
11;29,68831143
12;29,85172865
13;29,88747616
14;29,86449562
15;29,74959289
16;29,11635119
17;27,69155737
18;24,76817664
19;16,13872645
20;1,814518341
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;2,047566608
8;15,7462698
9;25,88120106
10;28,71546834
11;29,69597162
12;29,98961192
13;30,07642732
14;30,07387392
15;29,85938883
16;29,1955064
17;27,72219809
18;24,20872802
19;15,10230385
20;1,702117939
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,952861225
8;16,03710137
9;25,88886124
10;29,03464258
11;29,93599065
12;30,05855356
13;30,0815341
14;30,03301962
15;29,82364131
16;29,37424398
17;27,66091664
18;22,55974621
19;11,43307674
20;0,907833685
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,659169854
8;10,78655739
9;20,30356732
10;25,65905579
11;28,31458549
12;29,26700143
13;29,21082677
14;29,05762313
15;28,44480858
16;27,16300482
17;25,49180848
18;22,16192743
19;13,19696128
20;1,422036159
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,678192639
8;14,53953582
9;24,28813857
10;28,2277701
11;29,48403992
12;29,60915622
13;29,1980598
14;25,59522094
15;20,44706806
16;23,55454849
17;24,7342165
18;23,32014693
19;14,59928524
20;1,565587965
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,595615878
8;15,97224516
9;25,96290967
10;28,74355567
11;29,54787477
12;29,6193698
13;29,49425349
14;28,36565337
15;19,98796783
16;21,1357184
17;22,42262896
18;16,4540706
19;14,77521408
20;1,622758457
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,236864029
8;7,030770236
9;16,38129887
10;20,55660866
11;21,93416469
12;21,66529231
13;27,44643155
14;27,48473246
15;27,88050852
16;26,94085955
17;24,8567794
18;21,92344044
19;14,73691317
20;1,316887394
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,484262368
8;16,79188462
9;27,14768446
10;29,17507925
11;29,7470395
12;29,80576755
13;29,90534992
14;29,86449562
15;29,62958337
16;29,12911816
17;28,08222664
18;25,80970603
19;17,2234082
20;1,85113401
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,491948083
8;15,92551805
9;27,170665
10;29,08826386
11;29,93343725
12;29,97684495
13;29,67554446
14;29,38445755
15;28,32224567
16;26,52465633
17;26,72637446
18;24,74774949
19;16,75460507
20;1,195473513
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,208393685
8;4,760036997
9;17,2137053
10;15,66022042
11;13,57792766
12;15,80576388
13;10,49240641
14;6,911526738
15;11,01100072
16;26,98426724
17;28,42438143
18;26,09568615
19;17,53313488
20;1,876591347
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,223560846
8;16,43543083
9;27,16555821
10;29,28742859
11;29,68575804
12;29,7010784
13;29,77002004
14;29,68831143
15;29,5325544
16;29,08060367
17;28,15627506
18;25,8199196
19;17,2895411
20;1,762658911
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,156891731
8;15,60021567
9;26,85915094
10;29,00144846
11;29,58872907
12;29,63469016
13;29,75980647
14;29,68065125
15;29,45595259
16;28,83547786
17;27,59963519
18;25,48874441
19;16,8248234
20;1,697623965
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,058739266
8;15,47177995
9;26,92298579
10;29,08315707
11;29,6193698
12;29,67043768
13;29,80832095
14;29,65511731
15;28,43970179
16;26,45060791
17;24,22302703
18;25,41699404
19;16,69613235
20;1,662923344
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;1,035094839
8;15,92117728
9;27,10172336
10;29,51978743
11;29,9972721
12;29,94109743
13;30,01259247
14;29,90024313
15;29,72916574
16;29,26955483
17;28,26351761
18;26,05227845
19;17,24000526
20;1,688942426
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,940236254
8;15,77410179
9;27,05065548
10;29,22614713
11;29,93088386
12;29,91811689
13;30,02535944
14;29,93088386
15;29,77768022
16;29,31040913
17;27,03788852
18;25,77651191
19;17,32937405
20;1,674515752
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,856331728
8;15,48556828
9;27,09150979
10;29,4074381
11;30,14536895
12;30,06110695
13;29,75214628
14;27,45664512
15;24,35861225
16;24,27945703
17;19,91059999
18;20,93017019
19;13,30165043
20;1,393642418
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,839658065
8;10,66220711
9;21,85092405
10;29,10103083
11;29,7853404
12;29,85428204
13;30,02535944
14;29,91045671
15;29,75214628
16;29,31806931
17;28,3528864
18;25,95269609
19;16,37772412
20;1,465137447
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,769644003
8;14,45195441
9;26,14930742
10;29,07549689
11;29,58617568
12;29,62702998
13;29,72916574
14;29,51978743
15;29,44063222
16;29,37935077
17;28,10265379
18;25,76119154
19;16,15047206
20;1,395072317
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,691561218
8;13,66984984
9;25,42465422
10;28,54183755
11;29,41509828
12;29,45595259
13;29,48403992
14;29,35892361
15;29,31806931
16;28,97080774
17;27,74773203
18;24,64203898
19;12,34310635
20;1,127961777
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,59494079
8;11,47980385
9;23,08395799
10;29,04996295
11;29,59128247
12;29,80832095
13;29,80576755
14;29,56319513
15;29,48403992
16;29,13933174
17;28,32224567
18;26,14675403
19;16,62489266
20;1,384118258
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,612993284
8;12,9015336
9;24,93593462
10;28,50098325
11;29,01166204
12;29,29253537
13;29,3640304
14;29,37169058
15;29,28742859
16;28,50098325
17;26,93319936
18;23,87295672
19;13,75283514
20;1,097372118
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,573543349
8;12,791993
9;24,79626397
10;28,24053707
11;28,96825434
12;29,40233131
13;29,48914671
14;29,23125392
15;29,18529283
16;28,72312852
17;27,52558676
18;24,73830193
19;14,58345419
20;1,119969654
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,499162984
8;13,24190101
9;25,53138609
10;28,68482761
11;29,20827337
12;29,63724355
13;29,54532137
14;29,26955483
15;29,27466162
16;29,01676883
17;28,17925561
18;25,95780288
19;15,70158541
20;1,169888506
21;-0,038300909
22;-0,038300909
23;-0,038300909
0;-0,038300909
1;-0,038300909
2;-0,038300909
3;-0,038300909
4;-0,038300909
5;-0,038300909
6;-0,038300909
7;0,53368487
8;12,01090979
9;24,22149499
10;28,28649816
11;29,19295301
12;29,39977792
13;29,25934125
14;29,05251634
15;29,07805028
16;28,63120634
17;27,38770349
18;24,49036737
