Hora;G solar;;Fact;1,204081633
14;10,5884295;;;
15;10,55008216;;;
16;10,33369363;;;
17;9,883568968;;;
18;8,901055475;;;
19;5,91745024;;;
20;0,702495778;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,78618427;;;
8;6,149908129;;;
9;9,394183937;;;
10;10,31634603;;;
11;10,61582045;;;
12;10,67425449;;;
13;10,68703693;;;
14;10,67881964;;;
15;10,63773321;;;
16;10,41130133;;;
17;9,901829604;;;
18;8,856499524;;;
19;5,770817336;;;
20;0,648827771;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,732160181;;;
8;5,630484352;;;
9;9,254490075;;;
10;10,26795535;;;
11;10,61855955;;;
12;10,7235582;;;
13;10,75460128;;;
14;10,75368825;;;
15;10,67699358;;;
16;10,43960532;;;
17;9,912785985;;;
18;8,656454262;;;
19;5,400217739;;;
20;0,608636112;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,698295832;;;
8;5,734478672;;;
9;9,25722917;;;
10;10,38208432;;;
11;10,70438453;;;
12;10,74821006;;;
13;10,75642735;;;
14;10,73907974;;;
15;10,66421114;;;
16;10,50351754;;;
17;9,890873222;;;
18;8,066818342;;;
19;4,088191077;;;
20;0,324619317;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,593278918;;;
8;3,857011431;;;
9;7,260063464;;;
10;9,175056311;;;
11;10,12460936;;;
12;10,46517021;;;
13;10,44508351;;;
14;10,3903016;;;
15;10,17117398;;;
16;9,712832026;;;
17;9,11525273;;;
18;7,924567991;;;
19;4,718913427;;;
20;0,508485657;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,600081005;;;
8;5,198985535;;;
9;8,68484955;;;
10;10,09356628;;;
11;10,54277791;;;
12;10,58751647;;;
13;10,44051835;;;
14;9,152230516;;;
15;7,311375851;;;
16;8,422535521;;;
17;8,844356202;;;
18;8,338719204;;;
19;5,220350479;;;
20;0,559816302;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,570553557;;;
8;5,711287664;;;
9;9,283707093;;;
10;10,2779987;;;
11;10,5656037;;;
12;10,59116859;;;
13;10,54643004;;;
14;10,14286999;;;
15;7,147212737;;;
16;7,557620521;;;
17;8,017788535;;;
18;5,88357676;;;
19;5,283258368;;;
20;0,580259084;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,442272592;;;
8;2,514032993;;;
9;5,857555355;;;
10;7,350544914;;;
11;7,843125557;;;
12;7,746983311;;;
13;9,814178554;;;
14;9,82787403;;;
15;9,969393955;;;
16;9,633398263;;;
17;8,888181726;;;
18;7,839290823;;;
19;5,269562892;;;
20;0,470887007;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,530736241;;;
8;6,004370864;;;
9;9,707353835;;;
10;10,43230107;;;
11;10,63682018;;;
12;10,65781991;;;
13;10,69342815;;;
14;10,67881964;;;
15;10,59482072;;;
16;10,41586649;;;
17;10,04152347;;;
18;9,228925186;;;
19;6,158673234;;;
20;0,661920646;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,533484466;;;
8;5,694579183;;;
9;9,715571122;;;
10;10,40125799;;;
11;10,7034715;;;
12;10,71899304;;;
13;10,61125529;;;
14;10,50716967;;;
15;10,12734845;;;
16;9,484574082;;;
17;9,556703593;;;
18;8,84919527;;;
19;5,9910406;;;
20;0,427472347;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,432092288;;;
8;1,702073836;;;
9;6,155203714;;;
10;5,599715181;;;
11;4,855137769;;;
12;5,651757992;;;
13;3,751830172;;;
14;2,471394409;;;
15;3,937266924;;;
16;9,648919802;;;
17;10,16386972;;;
18;9,331184744;;;
19;6,269423988;;;
20;0,671023573;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,437515697;;;
8;5,876911629;;;
9;9,713745057;;;
10;10,47247446;;;
11;10,61490742;;;
12;10,62038561;;;
13;10,64503747;;;
14;10,61582045;;;
15;10,56012551;;;
16;10,39851889;;;
17;10,06800139;;;
18;9,232577312;;;
19;6,182320757;;;
20;0,630284096;;;
21;-0,013695476;;;
22;-0,013695476;;;
23;-0,013695476;;;
0;-0,013695476;;;
1;-0,013695476;;;
2;-0,013695476;;;
3;-0,013695476;;;
4;-0,013695476;;;
5;-0,013695476;;;
6;-0,013695476;;;
7;0,413676437;;;
