Hora;G solar;;Fact;0,907407407
14;8,793780431;;;
15;8,761932645;;;
16;8,582220136;;;
17;8,208387787;;;
18;7,392402005;;;
19;4,914492572;;;
20;0,583428697;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,652932699;;;
8;5,107550819;;;
9;7,801949371;;;
10;8,567812804;;;
11;8,81652885;;;
12;8,86505881;;;
13;8,875674739;;;
14;8,868850213;;;
15;8,834727585;;;
16;8,64667399;;;
17;8,2235534;;;
18;7,35539791;;;
19;4,792712703;;;
20;0,538856962;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,608065235;;;
8;4,67616497;;;
9;7,685932435;;;
10;8,527623932;;;
11;8,818803692;;;
12;8,906005964;;;
13;8,931787506;;;
14;8,931029225;;;
15;8,867333652;;;
16;8,670180689;;;
17;8,232652767;;;
18;7,189258624;;;
19;4,484926597;;;
20;0,505477449;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,579940606;;;
8;4,762533134;;;
9;7,688207277;;;
10;8,62240901;;;
11;8,890082071;;;
12;8,926479541;;;
13;8,933304067;;;
14;8,918896734;;;
15;8,856717724;;;
16;8,723260333;;;
17;8,214454032;;;
18;6,699560996;;;
19;3,395277335;;;
20;0,269599094;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,492723169;;;
8;3,20328068;;;
9;6,029544233;;;
10;7,619962021;;;
11;8,408573873;;;
12;8,691412547;;;
13;8,674730373;;;
14;8,629233536;;;
15;8,447246185;;;
16;8,06658931;;;
17;7,57029464;;;
18;6,581420874;;;
19;3,919097592;;;
20;0,422301647;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,49837236;;;
8;4,317801546;;;
9;7,212841152;;;
10;8,382792331;;;
11;8,7558664;;;
12;8,793022151;;;
13;8,67093897;;;
14;7,601005005;;;
15;6,072159605;;;
16;6,994987128;;;
17;7,345312778;;;
18;6,925376966;;;
19;4,335545313;;;
20;0,464932183;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,473849564;;;
8;4,743272806;;;
9;7,710197416;;;
10;8,535965018;;;
11;8,774823416;;;
12;8,796055273;;;
13;8,758899523;;;
14;8,423739485;;;
15;5,935820748;;;
16;6,27666789;;;
17;6,658841326;;;
18;4,88636036;;;
19;4,387790848;;;
20;0,481910087;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,367311136;;;
8;2,087925706;;;
9;4,864749363;;;
10;6,104689844;;;
11;6,513782242;;;
12;6,433935292;;;
13;8,15075846;;;
14;8,162132669;;;
15;8,279666166;;;
16;8,000618896;;;
17;7,381710247;;;
18;6,510597463;;;
19;4,376416639;;;
20;0,39107565;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,440780946;;;
8;4,986680887;;;
9;8,062039626;;;
10;8,664114444;;;
11;8,833969305;;;
12;8,851409759;;;
13;8,880982703;;;
14;8,868850213;;;
15;8,799088396;;;
16;8,650465393;;;
17;8,339570336;;;
18;7,664700578;;;
19;5,114830313;;;
20;0,549730706;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,44306337;;;
8;4,729396271;;;
9;8,068864152;;;
10;8,638332903;;;
11;8,889323791;;;
12;8,902214561;;;
13;8,812737447;;;
14;8,726293455;;;
15;8,410848715;;;
16;7,877019153;;;
17;7,936923323;;;
18;7,349331665;;;
19;4,97560999;;;
20;0,355019407;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,358856307;;;
8;1,413586745;;;
9;5,111948847;;;
10;4,650610913;;;
11;4,032233062;;;
12;4,693832909;;;
13;3,115926753;;;
14;2,052514001;;;
15;3,269933547;;;
16;8,013509666;;;
17;8,44117994;;;
18;7,749628008;;;
19;5,206809753;;;
20;0,557290764;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,363360494;;;
8;4,880824912;;;
9;8,06734759;;;
10;8,697478792;;;
11;8,81577057;;;
12;8,820320253;;;
13;8,840793831;;;
14;8,81652885;;;
15;8,770273732;;;
16;8,636058061;;;
17;8,361560474;;;
18;7,6677337;;;
19;5,134469781;;;
20;0,523456283;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,343561787;;;
8;4,632791319;;;
9;7,976353915;;;
10;8,612551361;;;
11;8,786955905;;;
12;8,800604957;;;
13;8,837760708;;;
14;8,814254009;;;
15;8,747525313;;;
16;8,563263121;;;
17;8,196255298;;;
18;7,569384703;;;
19;4,996462708;;;
20;0,504142875;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
